alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,contamination_fraction,contamination_multiplier,redraw_train_test,n_train,n_test
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,9,5.1364602612239825,0.0,10.0,True,7200,800
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,10,2.5618220609645688,0.0,10.0,True,7200,800
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,1,19.193832314314744,0.0,10.0,True,7200,800
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,2,19.193832314314744,0.0,10.0,True,7200,800
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,3,19.193832314314744,0.0,10.0,True,7200,800
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,4,19.193832314314744,0.0,10.0,True,7200,800
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,5,19.193832314314744,0.0,10.0,True,7200,800
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,6,19.193832314314744,0.0,10.0,True,7200,800
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,7,19.193832314314744,0.0,10.0,True,7200,800
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,8,19.193832314314744,0.0,10.0,True,7200,800
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,9,19.193832314314744,0.0,10.0,True,7200,800
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,10,19.193832314314744,0.0,10.0,True,7200,800
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,1,20.642107912841162,0.0,10.0,True,7200,800
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,2,25.934302765893342,0.0,10.0,True,7200,800
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,3,19.19383231428435,0.0,10.0,True,7200,800
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,4,14.918569464190233,0.0,10.0,True,7200,800
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,5,14.24981073962563,0.0,10.0,True,7200,800
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,6,10.702083669183805,0.0,10.0,True,7200,800
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,7,8.906673545715647,0.0,10.0,True,7200,800
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,8,7.353460201216679,0.0,10.0,True,7200,800
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,9,4.426394144816321,0.0,10.0,True,7200,800
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,10,2.8658785017299504,0.0,10.0,True,7200,800
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,1,23.349572328635634,0.0,10.0,True,7200,800
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,2,18.48397009796411,0.0,10.0,True,7200,800
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,3,19.318953210787022,0.0,10.0,True,7200,800
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,4,17.617750080394693,0.0,10.0,True,7200,800
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,5,14.470840134517367,0.0,10.0,True,7200,800
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,6,12.923317452968773,0.0,10.0,True,7200,800
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,7,9.788307187838695,0.0,10.0,True,7200,800
