alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,contamination_fraction,contamination_multiplier
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,16.699190869448852,8.341220497279624,13.962931978933883,0.05,10.0
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,12.909342423729187,6.047937944358921,10.989940180058342,0.05,10.0
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,9.995404940766448,5.451350614277502,8.281126511155495,0.05,10.0
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,6.715849198954402,3.3652396889625984,5.635799902431341,0.05,10.0
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,3.1971868159126107,1.3078683479293032,2.7839825689037987,0.05,10.0
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,39.909183257894036,38.980604962967234,29.711549347818952,0.05,10.0
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,34.651322810278415,28.133008309115212,26.823055328897837,0.05,10.0
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,31.83454373120024,26.139370525180357,24.83977056587577,0.05,10.0
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,27.366341754046164,21.810255208044367,21.483784689262922,0.05,10.0
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,23.324361802390335,18.81030151411917,18.067187663264242,0.05,10.0
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,21.28070906298316,22.414574416726463,15.341096491796742,0.05,10.0
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,16.049504816861113,15.571348681682284,12.218588162040302,0.05,10.0
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,11.866265705927566,9.708453279711389,9.153215088159893,0.05,10.0
