alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test,noise_ratio
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,7,2.4085807683956832,True,7200,800,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,8,2.5014199917299735,True,7200,800,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,9,2.690005069175814,True,7200,800,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,10,2.8615555561126005,True,7200,800,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,1,2.7217566437040617,True,7200,800,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,2,2.540609465278068,True,7200,800,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,3,2.9177596275534654,True,7200,800,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,4,2.2710194863355566,True,7200,800,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,5,2.822247809222705,True,7200,800,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,6,3.1139050622500353,True,7200,800,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,7,2.707164872089228,True,7200,800,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,8,2.499679756689865,True,7200,800,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,9,2.783085891155869,True,7200,800,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,10,2.8868942186149047,True,7200,800,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,1,2.476333006657531,True,7200,800,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,2,2.476333006657531,True,7200,800,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,3,2.476333006657531,True,7200,800,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,4,2.476333006657531,True,7200,800,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,5,2.476333006657531,True,7200,800,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,6,2.476333006657531,True,7200,800,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,7,2.476333006657531,True,7200,800,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,8,2.476333006657531,True,7200,800,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,9,2.476333006657531,True,7200,800,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,10,2.476333006657531,True,7200,800,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,1,2.2362854623580466,True,7200,800,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,2,2.9559621503202678,True,7200,800,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,3,2.1837622886320007,True,7200,800,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,4,1.973217725696701,True,7200,800,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,5,2.6047748015234484,True,7200,800,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,6,2.3068434121618964,True,7200,800,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,7,1.88732708070929,True,7200,800,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,8,2.4566873948104337,True,7200,800,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,9,2.428767152236696,True,7200,800,1
