alpha,n_dim,n_cal,trial,method,noise_type,score_type,redraw_train_test,n_train,n_test,test_coverage,coverage_volume,runtime,n_shapes,grid_size,template_calibration_size
0.1,2,50,45,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9583333333333334,13.450500766029883,0.12691439990885556,2,20,25
0.1,2,50,46,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.99,35.765619201967844,0.10097600007429719,2,20,25
0.1,2,50,47,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9883333333333333,21.60575371011376,0.09572179999668151,2,20,25
0.1,2,50,48,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8766666666666667,7.569743502250027,0.11710360005963594,1,20,25
0.1,2,50,49,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9583333333333334,11.605734503376953,0.12867530004587024,2,20,25
0.1,2,50,50,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9316666666666666,10.470508012940666,0.10720079997554421,1,20,25
0.1,2,50,51,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9516666666666667,11.40869790932041,0.09315369999967515,2,20,25
0.1,2,50,52,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9766666666666667,13.914660374412897,0.09785430005285889,2,20,25
0.1,2,50,53,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9166666666666666,14.213641773872373,0.12105730001349002,2,20,25
0.1,2,50,54,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.795,5.694127714620152,0.10290030005853623,1,20,25
0.1,2,50,55,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.93,9.61755000534548,0.11399340000934899,2,20,25
0.1,2,50,56,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9283333333333333,9.400558799812343,0.10328979999758303,2,20,25
0.1,2,50,57,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.94,11.376610162326974,0.09913950006011873,2,20,25
0.1,2,50,58,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9516666666666667,15.143247138662574,0.07634029991459101,2,20,25
0.1,2,50,59,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.95,11.488714477372005,0.10551789996679872,2,20,25
0.1,2,50,60,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9866666666666667,17.408209528599215,0.10560239991173148,2,20,25
0.1,2,50,61,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.7833333333333333,6.37738490680944,0.10144150000996888,1,20,25
0.1,2,50,62,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8433333333333334,10.168281650414738,0.1216800999827683,2,20,25
0.1,2,50,63,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8966666666666666,8.94786430640937,0.12693829997442663,1,20,25
0.1,2,50,64,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8616666666666667,8.024329167122316,0.121866500005126,1,20,25
0.1,2,50,65,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9766666666666667,18.205814621503315,0.0773234999505803,2,20,25
0.1,2,50,66,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9333333333333333,10.894592664243122,0.10012489999644458,2,20,25
0.1,2,50,67,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9366666666666666,13.178675031922575,0.1269175000488758,2,20,25
0.1,2,50,68,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9383333333333334,9.133926431209325,0.09884099999908358,1,20,25
0.1,2,50,69,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9766666666666667,20.466402952924078,0.10102279996499419,1,20,25
0.1,2,50,70,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9533333333333334,10.50954557542578,0.09042530006263405,1,20,25
0.1,2,50,71,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,1.0,17.418637192752918,0.09019620006438345,2,20,25
0.1,2,50,72,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8766666666666667,8.732482189012627,0.09960610000416636,1,20,25
