alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test,noise_ratio
0.1,10,100,39,TSCP_R,Gaussian,absolute_residual,0.89875,16479.566423249915,2.855419133213082,0.002994537353515625,True,7200,800,1
0.1,10,100,39,Point_CHR,Gaussian,absolute_residual,0.92875,25809.860997507654,3.2878494729993872,0.000997304916381836,True,7200,800,1
0.1,10,100,39,Unscaled,Gaussian,absolute_residual,0.91,15493.040391285125,2.624301117140923,0.0,True,7200,800,1
0.1,10,100,39,Empirical_copula,Gaussian,absolute_residual,0.77375,5082.46329416345,2.712471444904126,0.0009999275207519531,True,7200,800,1
0.1,10,100,40,TSCP_R,Gaussian,absolute_residual,0.89875,16144.748198669575,2.914560073111348,0.002995014190673828,True,7200,800,1
0.1,10,100,40,Point_CHR,Gaussian,absolute_residual,0.92125,32552.417871764916,3.4810921590860087,0.0009975433349609375,True,7200,800,1
0.1,10,100,40,Unscaled,Gaussian,absolute_residual,0.9075,13042.800689345577,2.5795092274513776,0.0,True,7200,800,1
0.1,10,100,40,Empirical_copula,Gaussian,absolute_residual,0.77875,5498.7178300900205,2.9324040655879138,0.0010066032409667969,True,7200,800,1
0.1,10,100,41,TSCP_R,Gaussian,absolute_residual,0.915,12999.472307293627,2.9743970433125204,0.005001068115234375,True,7200,800,1
0.1,10,100,41,Point_CHR,Gaussian,absolute_residual,0.91875,30001.722768641812,3.6213449055046647,0.0010020732879638672,True,7200,800,1
0.1,10,100,41,Unscaled,Gaussian,absolute_residual,0.8925,8559.994234055062,2.4731322868184065,0.0,True,7200,800,1
0.1,10,100,41,Empirical_copula,Gaussian,absolute_residual,0.80875,5108.410299730771,3.1581611616034095,0.0010077953338623047,True,7200,800,1
0.1,10,100,42,TSCP_R,Gaussian,absolute_residual,0.93875,18653.78486953431,2.8523800722742467,0.0030012130737304688,True,7200,800,1
0.1,10,100,42,Point_CHR,Gaussian,absolute_residual,0.9175,13540.793893949227,2.861688303102374,0.000993490219116211,True,7200,800,1
0.1,10,100,42,Unscaled,Gaussian,absolute_residual,0.915,11177.459666997465,2.5400034771067275,0.0,True,7200,800,1
0.1,10,100,42,Empirical_copula,Gaussian,absolute_residual,0.8475,6943.529699403146,2.9018293933958894,0.0010077953338623047,True,7200,800,1
0.1,10,100,43,TSCP_R,Gaussian,absolute_residual,0.955,39465.936733261944,3.388361262427273,0.004001140594482422,True,7200,800,1
0.1,10,100,43,Point_CHR,Gaussian,absolute_residual,0.95,41849.58124955234,3.450884546491082,0.0,True,7200,800,1
0.1,10,100,43,Unscaled,Gaussian,absolute_residual,0.945,21345.41064035203,2.7097576523760685,0.0,True,7200,800,1
0.1,10,100,43,Empirical_copula,Gaussian,absolute_residual,0.885,9055.365524084082,2.8633135502544604,0.0020074844360351562,True,7200,800,1
0.1,10,100,44,TSCP_R,Gaussian,absolute_residual,0.91875,13779.411749558925,2.861479265609459,0.003000020980834961,True,7200,800,1
0.1,10,100,44,Point_CHR,Gaussian,absolute_residual,0.905,20313.50804853812,3.424461109965539,0.0010013580322265625,True,7200,800,1
0.1,10,100,44,Unscaled,Gaussian,absolute_residual,0.8725,8362.226904759893,2.46735815330566,0.0,True,7200,800,1
0.1,10,100,44,Empirical_copula,Gaussian,absolute_residual,0.815,4931.520935030587,2.661382153389802,0.001001596450805664,True,7200,800,1
0.1,10,100,45,TSCP_R,Gaussian,absolute_residual,0.88125,9605.537845384979,2.7437417129690647,0.004000663757324219,True,7200,800,1
0.1,10,100,45,Point_CHR,Gaussian,absolute_residual,0.90375,26078.825548893426,3.443879005405211,0.0010004043579101562,True,7200,800,1
0.1,10,100,45,Unscaled,Gaussian,absolute_residual,0.88375,8711.133366790655,2.4774646492110497,0.0,True,7200,800,1
0.1,10,100,45,Empirical_copula,Gaussian,absolute_residual,0.81875,4874.2563520468675,2.6843737639861196,0.0010001659393310547,True,7200,800,1
0.1,10,100,46,TSCP_R,Gaussian,absolute_residual,0.9175,19973.57286568461,3.171936342746954,0.0039975643157958984,True,7200,800,1
0.1,10,100,46,Point_CHR,Gaussian,absolute_residual,0.84,10136.747518223889,2.9329246172657477,0.0,True,7200,800,1
0.1,10,100,46,Unscaled,Gaussian,absolute_residual,0.9,13839.408246334606,2.5948469787401214,0.0,True,7200,800,1
0.1,10,100,46,Empirical_copula,Gaussian,absolute_residual,0.81375,7624.296630598274,3.3328944172351864,0.0020020008087158203,True,7200,800,1
0.1,10,100,47,TSCP_R,Gaussian,absolute_residual,0.9375,28423.983282714355,3.293733239739276,0.00500178337097168,True,7200,800,1
0.1,10,100,47,Point_CHR,Gaussian,absolute_residual,0.95375,43230.73891208025,3.7879942433919243,0.0,True,7200,800,1
0.1,10,100,47,Unscaled,Gaussian,absolute_residual,0.92625,18901.81996581245,2.677012272873032,0.0,True,7200,800,1
0.1,10,100,47,Empirical_copula,Gaussian,absolute_residual,0.8675,8355.204905621904,2.7555477592619937,0.0010051727294921875,True,7200,800,1
0.1,10,100,48,TSCP_R,Gaussian,absolute_residual,0.90875,12878.192062906599,2.7536300695346343,0.004002809524536133,True,7200,800,1
0.1,10,100,48,Point_CHR,Gaussian,absolute_residual,0.89875,10992.745045007616,2.7727600371697356,0.0,True,7200,800,1
0.1,10,100,48,Unscaled,Gaussian,absolute_residual,0.90375,9877.907447631991,2.5088026241489483,0.0,True,7200,800,1
0.1,10,100,48,Empirical_copula,Gaussian,absolute_residual,0.8425,6960.908474260516,3.391746809727623,0.001997232437133789,True,7200,800,1
0.1,10,100,49,TSCP_R,Gaussian,absolute_residual,0.88375,11492.357446912192,2.895602092775591,0.004002094268798828,True,7200,800,1
0.1,10,100,49,Point_CHR,Gaussian,absolute_residual,0.88125,15864.436002493745,3.1411935108080744,0.0,True,7200,800,1
0.1,10,100,49,Unscaled,Gaussian,absolute_residual,0.89125,9746.90411258266,2.5054553605251613,0.0010073184967041016,True,7200,800,1
0.1,10,100,49,Empirical_copula,Gaussian,absolute_residual,0.77875,4532.642837722873,3.035033499785847,0.0009982585906982422,True,7200,800,1
