alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,df,redraw_train_test,n_train,n_test
0.1,10,30,8,Empirical_copula,t,absolute_residual,9,5.43489729754025,1.5,True,7200,800
0.1,10,30,8,Empirical_copula,t,absolute_residual,10,67.75585907862016,1.5,True,7200,800
0.1,10,30,9,TSCP_R,t,absolute_residual,1,10.912313185085496,1.5,True,7200,800
0.1,10,30,9,TSCP_R,t,absolute_residual,2,194.90278673954992,1.5,True,7200,800
0.1,10,30,9,TSCP_R,t,absolute_residual,3,26.26661255759322,1.5,True,7200,800
0.1,10,30,9,TSCP_R,t,absolute_residual,4,24.22024553743115,1.5,True,7200,800
0.1,10,30,9,TSCP_R,t,absolute_residual,5,31.74130543191888,1.5,True,7200,800
0.1,10,30,9,TSCP_R,t,absolute_residual,6,16.23778899729992,1.5,True,7200,800
0.1,10,30,9,TSCP_R,t,absolute_residual,7,17.541298055961203,1.5,True,7200,800
0.1,10,30,9,TSCP_R,t,absolute_residual,8,25.11914530513235,1.5,True,7200,800
0.1,10,30,9,TSCP_R,t,absolute_residual,9,33.467662035801574,1.5,True,7200,800
0.1,10,30,9,TSCP_R,t,absolute_residual,10,189.09484616895975,1.5,True,7200,800
0.1,10,30,9,Point_CHR,t,absolute_residual,1,132.44758422003636,1.5,True,7200,800
0.1,10,30,9,Point_CHR,t,absolute_residual,2,87.25380985440991,1.5,True,7200,800
0.1,10,30,9,Point_CHR,t,absolute_residual,3,139.6746253809825,1.5,True,7200,800
0.1,10,30,9,Point_CHR,t,absolute_residual,4,348.31123429399656,1.5,True,7200,800
0.1,10,30,9,Point_CHR,t,absolute_residual,5,395.9563980310808,1.5,True,7200,800
0.1,10,30,9,Point_CHR,t,absolute_residual,6,117.54189277845207,1.5,True,7200,800
0.1,10,30,9,Point_CHR,t,absolute_residual,7,302.8882950787239,1.5,True,7200,800
0.1,10,30,9,Point_CHR,t,absolute_residual,8,308.6874982961783,1.5,True,7200,800
0.1,10,30,9,Point_CHR,t,absolute_residual,9,170.64578584468788,1.5,True,7200,800
