alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test
0.1,2,30,50,Unscaled,Gaussian,absolute_residual,0.895,10.917535553360139,3.3041694195909717,0.0,True,2400,600
0.1,2,30,51,TSCP_R,Gaussian,absolute_residual,0.975,12.351493478082446,4.838062245315553,0.0,True,2400,600
0.1,2,30,51,Point_CHR,Gaussian,absolute_residual,0.98,12.37718647649716,4.986866491613491,0.0,True,2400,600
0.1,2,30,51,Unscaled,Gaussian,absolute_residual,0.94,14.941986597202472,3.865486592552414,0.0,True,2400,600
0.1,2,30,52,TSCP_R,Gaussian,absolute_residual,0.9366666666666666,10.499398034130122,5.0000645256413225,0.001005411148071289,True,2400,600
0.1,2,30,52,Point_CHR,Gaussian,absolute_residual,0.9666666666666667,13.040254389937015,5.385055234812292,0.0,True,2400,600
0.1,2,30,52,Unscaled,Gaussian,absolute_residual,0.9666666666666667,19.389024324356377,4.403296983438248,0.0,True,2400,600
0.1,2,30,53,TSCP_R,Gaussian,absolute_residual,0.8983333333333333,8.188863533037873,4.560169467597739,0.0,True,2400,600
0.1,2,30,53,Point_CHR,Gaussian,absolute_residual,0.935,9.283597801064076,4.445800893257049,0.0,True,2400,600
0.1,2,30,53,Unscaled,Gaussian,absolute_residual,0.9383333333333334,16.40767827329868,4.0506392425515605,0.0,True,2400,600
0.1,2,30,54,TSCP_R,Gaussian,absolute_residual,0.85,6.276311586873498,3.1491747154732757,0.0,True,2400,600
0.1,2,30,54,Point_CHR,Gaussian,absolute_residual,0.9433333333333334,11.210144771191295,3.6112989519584664,0.0010075569152832031,True,2400,600
0.1,2,30,54,Unscaled,Gaussian,absolute_residual,0.7833333333333333,6.316433372046402,2.5132515536743236,0.0,True,2400,600
0.1,2,30,55,TSCP_R,Gaussian,absolute_residual,0.94,10.727212270687307,4.712487152599717,0.0010066032409667969,True,2400,600
0.1,2,30,55,Point_CHR,Gaussian,absolute_residual,0.9733333333333334,20.418318674231408,4.845246384712662,0.0,True,2400,600
0.1,2,30,55,Unscaled,Gaussian,absolute_residual,0.9083333333333333,12.36241589618162,3.516022738291324,0.0010001659393310547,True,2400,600
0.1,2,30,56,TSCP_R,Gaussian,absolute_residual,0.9866666666666667,13.5737934799853,4.792161607728469,0.0009989738464355469,True,2400,600
0.1,2,30,56,Point_CHR,Gaussian,absolute_residual,0.8666666666666667,6.781916642720657,3.5143484660845132,0.0,True,2400,600
0.1,2,30,56,Unscaled,Gaussian,absolute_residual,0.905,10.329020535626281,3.2138793592209214,0.0,True,2400,600
0.1,2,30,57,TSCP_R,Gaussian,absolute_residual,0.95,10.337054958377358,4.6052658345440785,0.0,True,2400,600
0.1,2,30,57,Point_CHR,Gaussian,absolute_residual,0.9466666666666667,10.021922315767332,4.524960999262156,0.0010006427764892578,True,2400,600
0.1,2,30,57,Unscaled,Gaussian,absolute_residual,0.9,11.964890439282975,3.4590302744097188,0.0,True,2400,600
0.1,2,30,58,TSCP_R,Gaussian,absolute_residual,0.8883333333333333,7.209598898894503,3.5061939618047395,0.0,True,2400,600
0.1,2,30,58,Point_CHR,Gaussian,absolute_residual,0.8383333333333334,6.0187689998647835,3.012919018662436,0.0010101795196533203,True,2400,600
0.1,2,30,58,Unscaled,Gaussian,absolute_residual,0.855,8.45907569333298,2.9084490185205207,0.0,True,2400,600
0.1,2,30,59,TSCP_R,Gaussian,absolute_residual,0.88,7.122844184391896,3.8544305003305266,0.0,True,2400,600
0.1,2,30,59,Point_CHR,Gaussian,absolute_residual,0.955,10.438177704137322,4.232601270343276,0.0010056495666503906,True,2400,600
0.1,2,30,59,Unscaled,Gaussian,absolute_residual,0.8383333333333334,7.88623580512713,2.808244256671262,0.0,True,2400,600
0.1,2,30,60,TSCP_R,Gaussian,absolute_residual,0.9016666666666666,7.533595116675228,3.7046741034367683,0.0010089874267578125,True,2400,600
0.1,2,30,60,Point_CHR,Gaussian,absolute_residual,0.9116666666666666,7.802431747008675,3.847241013681055,0.0009946823120117188,True,2400,600
0.1,2,30,60,Unscaled,Gaussian,absolute_residual,0.91,12.07171022237496,3.4744366769844808,0.0,True,2400,600
0.1,2,30,61,TSCP_R,Gaussian,absolute_residual,0.9433333333333334,10.625451083578064,4.249708191753622,0.0,True,2400,600
0.1,2,30,61,Point_CHR,Gaussian,absolute_residual,0.9566666666666667,17.153090380658444,4.239559048479528,0.0010075569152832031,True,2400,600
0.1,2,30,61,Unscaled,Gaussian,absolute_residual,0.9133333333333333,12.371995874623067,3.517384806162537,0.0,True,2400,600
0.1,2,30,62,TSCP_R,Gaussian,absolute_residual,0.85,6.090911833133727,3.769123392682346,0.0010075569152832031,True,2400,600
0.1,2,30,62,Point_CHR,Gaussian,absolute_residual,0.89,8.199517380415033,5.240530966212889,0.0,True,2400,600
0.1,2,30,62,Unscaled,Gaussian,absolute_residual,0.8633333333333333,9.344682057690129,3.0569072700509134,0.0,True,2400,600
0.1,2,30,63,TSCP_R,Gaussian,absolute_residual,0.9033333333333333,7.342838419956606,3.8027051205043696,0.0010075569152832031,True,2400,600
0.1,2,30,63,Point_CHR,Gaussian,absolute_residual,0.8816666666666667,7.308511345250309,3.3718617935608126,0.0,True,2400,600
0.1,2,30,63,Unscaled,Gaussian,absolute_residual,0.9016666666666666,11.249676357713538,3.3540537201591656,0.0,True,2400,600
0.1,2,30,64,TSCP_R,Gaussian,absolute_residual,0.8833333333333333,7.207047788966574,3.70177945606593,0.0,True,2400,600
0.1,2,30,64,Point_CHR,Gaussian,absolute_residual,0.9583333333333334,13.819629479526379,4.322603305026291,0.001005411148071289,True,2400,600
0.1,2,30,64,Unscaled,Gaussian,absolute_residual,0.91,11.08415028649463,3.3292867534195114,0.0,True,2400,600
0.1,2,30,65,TSCP_R,Gaussian,absolute_residual,0.9433333333333334,10.286461170144483,4.056598344322369,0.0,True,2400,600
0.1,2,30,65,Point_CHR,Gaussian,absolute_residual,0.96,15.411492929002874,4.215742122276449,0.0009853839874267578,True,2400,600
0.1,2,30,65,Unscaled,Gaussian,absolute_residual,0.9283333333333333,14.017897133101568,3.74404822793478,0.0,True,2400,600
0.1,2,30,66,TSCP_R,Gaussian,absolute_residual,0.9733333333333334,12.319776042221363,4.403660950929726,0.0,True,2400,600
0.1,2,30,66,Point_CHR,Gaussian,absolute_residual,0.9783333333333334,12.856108349019557,4.526947570701566,0.0010068416595458984,True,2400,600
0.1,2,30,66,Unscaled,Gaussian,absolute_residual,0.8683333333333333,8.828837160963166,2.9713359219319457,0.0,True,2400,600
0.1,2,30,67,TSCP_R,Gaussian,absolute_residual,0.89,7.835955733073512,3.8253879053044004,0.0010075569152832031,True,2400,600
0.1,2,30,67,Point_CHR,Gaussian,absolute_residual,0.915,9.296023215746423,3.7505206721425317,0.0,True,2400,600
0.1,2,30,67,Unscaled,Gaussian,absolute_residual,0.8183333333333334,7.759497005893457,2.785587371793148,0.0,True,2400,600
0.1,2,30,68,TSCP_R,Gaussian,absolute_residual,0.9416666666666667,9.97353296089983,4.929954696576417,0.0009870529174804688,True,2400,600
