alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,8,19.57057456600268,True,7200,800
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,9,19.57057456600268,True,7200,800
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,10,19.57057456600268,True,7200,800
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,1,19.570574565957642,True,7200,800
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,2,16.831069124957395,True,7200,800
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,3,13.675492270903716,True,7200,800
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,4,9.083559350513589,True,7200,800
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,5,6.419419567607957,True,7200,800
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,6,9.580964745170222,True,7200,800
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,7,12.005143849829025,True,7200,800
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,8,6.281859551403546,True,7200,800
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,9,4.671499587469963,True,7200,800
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,10,2.455566499468869,True,7200,800
0.1,10,10,4,TSCP_R,Gaussian,absolute_residual,1,32.11985267472079,True,7200,800
0.1,10,10,4,TSCP_R,Gaussian,absolute_residual,2,20.389439484837766,True,7200,800
0.1,10,10,4,TSCP_R,Gaussian,absolute_residual,3,24.67544331732462,True,7200,800
0.1,10,10,4,TSCP_R,Gaussian,absolute_residual,4,12.734587953570898,True,7200,800
0.1,10,10,4,TSCP_R,Gaussian,absolute_residual,5,22.672445750051697,True,7200,800
0.1,10,10,4,TSCP_R,Gaussian,absolute_residual,6,14.090651328046551,True,7200,800
0.1,10,10,4,TSCP_R,Gaussian,absolute_residual,7,15.762518882305905,True,7200,800
0.1,10,10,4,TSCP_R,Gaussian,absolute_residual,8,6.761985896296638,True,7200,800
0.1,10,10,4,TSCP_R,Gaussian,absolute_residual,9,5.537026997934591,True,7200,800
0.1,10,10,4,TSCP_R,Gaussian,absolute_residual,10,3.9264168521322027,True,7200,800
0.1,10,10,4,Point_CHR,Gaussian,absolute_residual,1,inf,True,7200,800
0.1,10,10,4,Point_CHR,Gaussian,absolute_residual,2,inf,True,7200,800
0.1,10,10,4,Point_CHR,Gaussian,absolute_residual,3,inf,True,7200,800
0.1,10,10,4,Point_CHR,Gaussian,absolute_residual,4,inf,True,7200,800
0.1,10,10,4,Point_CHR,Gaussian,absolute_residual,5,inf,True,7200,800
0.1,10,10,4,Point_CHR,Gaussian,absolute_residual,6,inf,True,7200,800
0.1,10,10,4,Point_CHR,Gaussian,absolute_residual,7,inf,True,7200,800
