alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure,redraw_train_test,n_train,n_test
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,9,11.244974990124845,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,10,3.689362861571021,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,1,24.76796609730774,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,2,24.76796609730774,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,3,24.76796609730774,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,4,24.76796609730774,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,5,24.76796609730774,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,6,24.76796609730774,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,7,24.76796609730774,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,8,24.76796609730774,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,9,24.76796609730774,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,10,24.76796609730774,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,1,24.767966097285015,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,2,28.496492951434643,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,3,20.677551729669013,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,4,29.616177208697376,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,5,12.929436919549815,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,6,10.310545530926476,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,7,9.478319326945208,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,8,6.088587680483147,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,9,6.740271246897894,0.0,equicorrelated,True,7200,800
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,10,2.3912942594117563,0.0,equicorrelated,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,1,28.34020493591082,0.0,equicorrelated,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,2,25.064973282835187,0.0,equicorrelated,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,3,19.175986614612768,0.0,equicorrelated,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,4,13.829919954145158,0.0,equicorrelated,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,5,18.389219247164966,0.0,equicorrelated,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,6,14.433464440486173,0.0,equicorrelated,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,7,10.983918965399441,0.0,equicorrelated,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,8,8.828376055809727,0.0,equicorrelated,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,9,7.2589390294803895,0.0,equicorrelated,True,7200,800
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,10,3.2316230079633605,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,1,28.351256172037875,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,2,32.09776816448234,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,3,17.33413611987953,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,4,19.937668507910836,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,5,25.70796597597468,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,6,19.29737995248977,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,7,13.31037005209077,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,8,10.91164805657122,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,9,10.503508286354002,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,10,3.5054280406556098,0.0,equicorrelated,True,7200,800
