alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure,redraw_train_test,n_train,n_test
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,8,8.009908791877486,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,9,4.91279386767711,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,10,2.7679736230824368,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,1,19.660904757337466,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,2,19.660904757337466,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,3,19.660904757337466,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,4,19.660904757337466,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,5,19.660904757337466,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,6,19.660904757337466,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,7,19.660904757337466,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,8,19.660904757337466,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,9,19.660904757337466,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,10,19.660904757337466,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,1,22.810566626503665,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,2,16.107919046562486,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,3,18.93080517405383,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,4,15.17671337388508,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,5,13.85591293746197,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,6,9.944738929356854,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,7,9.712753009858027,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,8,7.0916748541528065,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,9,4.900960117472156,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,10,2.4506607315775533,0.6,equicorrelated,True,7200,800
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,1,23.632810413467457,0.6,equicorrelated,True,7200,800
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,2,17.038463688879105,0.6,equicorrelated,True,7200,800
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,3,19.853283346652763,0.6,equicorrelated,True,7200,800
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,4,15.805416895765092,0.6,equicorrelated,True,7200,800
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,5,13.020248064991366,0.6,equicorrelated,True,7200,800
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,6,9.739906623499138,0.6,equicorrelated,True,7200,800
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,7,10.061861353232933,0.6,equicorrelated,True,7200,800
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,8,7.262670997181051,0.6,equicorrelated,True,7200,800
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,9,4.884553297096922,0.6,equicorrelated,True,7200,800
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,10,2.1863594974810323,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,1,20.101077960710366,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,2,17.531274295585455,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,3,19.991665553457874,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,4,15.933700997697656,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,5,12.730214858893655,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,6,8.946346315057568,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,7,9.480190002582265,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,8,6.992483168031712,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,9,4.900960117472156,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,10,2.08366690597846,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,1,17.344908841197523,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,2,17.344908841197523,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,3,17.344908841197523,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,4,17.344908841197523,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,5,17.344908841197523,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,6,17.344908841197523,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,7,17.344908841197523,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,8,17.344908841197523,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,9,17.344908841197523,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,10,17.344908841197523,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,1,22.810566626503665,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,2,16.107919046562486,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,3,18.93080517405383,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,4,15.17671337388508,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,5,13.85591293746197,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,6,9.944738929356854,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,7,9.712753009858027,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,8,7.0916748541528065,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,9,4.900960117472156,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,10,2.4506607315775533,0.6,equicorrelated,True,7200,800
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,1,21.241022066137944,0.6,equicorrelated,True,7200,800
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,2,15.276559614070646,0.6,equicorrelated,True,7200,800
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,3,17.765658665173937,0.6,equicorrelated,True,7200,800
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,4,14.219833404447588,0.6,equicorrelated,True,7200,800
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,5,11.688696064419595,0.6,equicorrelated,True,7200,800
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,6,8.73501947665943,0.6,equicorrelated,True,7200,800
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,7,9.001120304878341,0.6,equicorrelated,True,7200,800
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,8,6.527171167637915,0.6,equicorrelated,True,7200,800
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,9,4.379833386505541,0.6,equicorrelated,True,7200,800
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,10,1.9633388467565864,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,1,22.37997314307438,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,2,16.013113373033033,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,3,15.80070598238846,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,4,14.08000114421909,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,5,13.44380847345958,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,6,7.23115607737633,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,7,9.415793013452312,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,8,7.335122550346206,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,9,5.540621744922975,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,10,1.8243283858457184,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,1,15.368437734705916,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,2,15.368437734705916,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,3,15.368437734705916,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,4,15.368437734705916,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,5,15.368437734705916,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,6,15.368437734705916,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,7,15.368437734705916,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,8,15.368437734705916,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,9,15.368437734705916,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,10,15.368437734705916,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,1,19.704975524642826,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,2,14.712308947628514,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,3,17.35162065731314,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,4,12.672341337997828,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,5,12.44734047022246,0.6,equicorrelated,True,7200,800
