dataset,trial,n_cal,n_test,n_dim,method,covered_count,joint_coverage,residual_volume,infinite_region
stock,55,15,64,6,Unscaled,59,0.921875,0.000902295054995867,0
stock,55,15,64,6,Point_CHR,64,1.0,inf,1
stock,55,15,64,6,TSCP_R,63,0.984375,5.850487859021403e-05,0
stock,56,15,64,6,Empirical_copula,46,0.71875,3.2432865077743353e-06,0
stock,56,15,64,6,Unscaled,59,0.921875,0.001097869797456526,0
stock,56,15,64,6,Point_CHR,64,1.0,inf,1
stock,56,15,64,6,TSCP_R,61,0.953125,5.845917690941162e-05,0
stock,57,15,64,6,Empirical_copula,47,0.734375,5.4884456658884704e-06,0
stock,57,15,64,6,Unscaled,62,0.96875,0.002032936475821436,0
stock,57,15,64,6,Point_CHR,64,1.0,inf,1
stock,57,15,64,6,TSCP_R,63,0.984375,0.0002484569097963129,0
stock,58,15,64,6,Empirical_copula,57,0.890625,9.827063718109515e-06,0
stock,58,15,64,6,Unscaled,62,0.96875,0.007087078929909415,0
stock,58,15,64,6,Point_CHR,64,1.0,inf,1
stock,58,15,64,6,TSCP_R,62,0.96875,6.865802473403785e-05,0
stock,59,15,64,6,Empirical_copula,50,0.78125,7.798800508520757e-06,0
stock,59,15,64,6,Unscaled,60,0.9375,0.006676445669422727,0
stock,59,15,64,6,Point_CHR,64,1.0,inf,1
stock,59,15,64,6,TSCP_R,63,0.984375,6.710180590966038e-05,0
stock,60,15,64,6,Empirical_copula,47,0.734375,1.016076536257845e-05,0
stock,60,15,64,6,Unscaled,62,0.96875,0.02143943013221369,0
stock,60,15,64,6,Point_CHR,64,1.0,inf,1
stock,60,15,64,6,TSCP_R,64,1.0,0.0006991352694106792,0
stock,61,15,64,6,Empirical_copula,45,0.703125,3.4079150489655714e-06,0
stock,61,15,64,6,Unscaled,60,0.9375,0.0014298392314770635,0
stock,61,15,64,6,Point_CHR,64,1.0,inf,1
stock,61,15,64,6,TSCP_R,61,0.953125,2.4220078773626804e-05,0
stock,62,15,64,6,Empirical_copula,36,0.5625,2.9567723926649107e-06,0
stock,62,15,64,6,Unscaled,53,0.828125,0.000606685054645138,0
stock,62,15,64,6,Point_CHR,64,1.0,inf,1
stock,62,15,64,6,TSCP_R,56,0.875,2.521286381233716e-05,0
stock,63,15,64,6,Empirical_copula,40,0.625,3.2103163083821074e-06,0
stock,63,15,64,6,Unscaled,60,0.9375,0.0023491788069987096,0
stock,63,15,64,6,Point_CHR,64,1.0,inf,1
stock,63,15,64,6,TSCP_R,52,0.8125,1.43010069231443e-05,0
stock,64,15,64,6,Empirical_copula,53,0.828125,1.2884360952083465e-05,0
stock,64,15,64,6,Unscaled,62,0.96875,0.004537810179263524,0
stock,64,15,64,6,Point_CHR,64,1.0,inf,1
stock,64,15,64,6,TSCP_R,63,0.984375,0.00018880895317912645,0
stock,65,15,64,6,Empirical_copula,48,0.75,6.259078164189117e-06,0
stock,65,15,64,6,Unscaled,60,0.9375,0.0015654903945045364,0
stock,65,15,64,6,Point_CHR,64,1.0,inf,1
stock,65,15,64,6,TSCP_R,62,0.96875,2.6493582015841607e-05,0
stock,66,15,64,6,Empirical_copula,42,0.65625,4.318784226085501e-06,0
stock,66,15,64,6,Unscaled,55,0.859375,0.0010148427339829263,0
stock,66,15,64,6,Point_CHR,64,1.0,inf,1
stock,66,15,64,6,TSCP_R,58,0.90625,3.0055377750037545e-05,0
stock,67,15,64,6,Empirical_copula,56,0.875,7.8969609517955e-06,0
stock,67,15,64,6,Unscaled,61,0.953125,0.0017820741743260142,0
stock,67,15,64,6,Point_CHR,64,1.0,inf,1
stock,67,15,64,6,TSCP_R,63,0.984375,4.6776798110588456e-05,0
stock,68,15,64,6,Empirical_copula,55,0.859375,9.918231288499604e-06,0
stock,68,15,64,6,Unscaled,62,0.96875,0.0015312595986772728,0
stock,68,15,64,6,Point_CHR,64,1.0,inf,1
stock,68,15,64,6,TSCP_R,62,0.96875,0.0001725965911510337,0
stock,69,15,64,6,Empirical_copula,43,0.671875,4.484258499735934e-06,0
stock,69,15,64,6,Unscaled,59,0.921875,0.0024708796266037776,0
stock,69,15,64,6,Point_CHR,64,1.0,inf,1
stock,69,15,64,6,TSCP_R,62,0.96875,0.0045681238154412175,0
stock,70,15,64,6,Empirical_copula,35,0.546875,2.6517626004303538e-06,0
stock,70,15,64,6,Unscaled,50,0.78125,0.0005057518122894725,0
stock,70,15,64,6,Point_CHR,64,1.0,inf,1
stock,70,15,64,6,TSCP_R,62,0.96875,3.885409055599326e-05,0
stock,71,15,64,6,Empirical_copula,42,0.65625,6.715325596219921e-06,0
stock,71,15,64,6,Unscaled,63,0.984375,0.02653213909154647,0
stock,71,15,64,6,Point_CHR,64,1.0,inf,1
stock,71,15,64,6,TSCP_R,64,1.0,0.0002895182722375304,0
stock,72,15,64,6,Empirical_copula,50,0.78125,9.155856111835943e-06,0
stock,72,15,64,6,Unscaled,63,0.984375,0.012994283169023232,0
stock,72,15,64,6,Point_CHR,64,1.0,inf,1
stock,72,15,64,6,TSCP_R,64,1.0,0.0003220983186338953,0
stock,73,15,64,6,Empirical_copula,38,0.59375,6.865978045039534e-06,0
