alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime
0.1,3,100,39,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9,3222.2389867036954,17.007828059405234,,0.0009999275207519531
0.1,3,100,39,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.89,3114.0144542157236,14.729389040259461,,0.0
0.1,3,100,39,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8866666666666667,2933.6790233164334,15.150692415547958,,0.0010001659393310547
0.1,3,100,40,CQHR,Gaussian,cqr,native,0.9,0.0,0.8666666666666667,28369592.36673807,198.21455365063014,20.479831189585227,0.0
0.1,3,100,40,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.905,2721.5975945953574,18.42305654088464,,0.00099945068359375
0.1,3,100,40,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8766666666666667,2503.2312661242468,13.658109558187283,,0.0
0.1,3,100,40,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.855,1826.5999883236302,13.652208225885012,,0.00099945068359375
0.1,3,100,41,CQHR,Gaussian,cqr,native,0.9,0.0,0.935,214049435.17100433,325.3047811677097,34.98089177913112,0.0
0.1,3,100,41,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.91,2302.763122623452,16.89205197003778,,0.0010013580322265625
0.1,3,100,41,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.895,2703.8876235546727,14.05797387148931,,0.0
0.1,3,100,41,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.9233333333333333,2604.6802304410967,16.656683627273214,,0.0010089874267578125
0.1,3,100,42,CQHR,Gaussian,cqr,native,0.9,0.0,0.93,1287201878.9925559,649.5028505283517,41.452099727085056,0.0
0.1,3,100,42,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8916666666666667,2617.540692955244,16.953512561684636,,0.000993967056274414
0.1,3,100,42,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9083333333333333,3549.7246748158864,15.329157493680865,,0.0
0.1,3,100,42,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.895,2390.4102843650903,16.45582622101278,,0.0010085105895996094
0.1,3,100,43,CQHR,Gaussian,cqr,native,0.9,0.0,0.95,35418062.495002724,245.50355387733487,37.89302449146488,0.0
0.1,3,100,43,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9233333333333333,3025.4931956570167,17.003421045670603,,0.0009999275207519531
0.1,3,100,43,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9216666666666666,3710.8000017752547,15.558363497439286,,0.0
0.1,3,100,43,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.88,2314.9270917458803,15.85166119926107,,0.0009999275207519531
0.1,3,100,44,CQHR,Gaussian,cqr,native,0.9,0.0,0.9183333333333333,61300117.53865361,316.19562130953983,28.925865555167828,0.0
0.1,3,100,44,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.855,1457.1303351020226,13.048867635397139,,0.0010077953338623047
0.1,3,100,44,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.88,2063.952177545748,12.787547860668305,,0.0
0.1,3,100,44,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8233333333333334,1245.3981168956695,13.275970119867079,,0.000989675521850586
0.1,3,100,45,CQHR,Gaussian,cqr,native,0.9,0.0,0.905,265764607.309998,380.92834704426684,24.455106299825196,0.0
0.1,3,100,45,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8183333333333334,1742.0288884772183,14.689063703825319,,0.0010020732879638672
0.1,3,100,45,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8466666666666667,2487.1986821922333,13.621805314704698,,0.0
0.1,3,100,45,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.815,1713.6316859686444,15.291996949947656,,0.00099945068359375
0.1,3,100,46,CQHR,Gaussian,cqr,native,0.9,0.0,0.8966666666666666,22919643.795015853,215.32239272433014,30.396371190957673,0.0
0.1,3,100,46,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.895,2424.169785830324,17.61372119932071,,0.0
0.1,3,100,46,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8816666666666667,2922.087013323621,14.506755846111853,,0.0
0.1,3,100,46,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8766666666666667,1872.5742812846202,17.971340097640564,,0.0
0.1,3,100,47,CQHR,Gaussian,cqr,native,0.9,0.0,0.955,179859408.99978244,353.33587904709844,41.333312353291966,0.0
0.1,3,100,47,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9283333333333333,2877.0584127024663,17.360343546334033,,0.00099945068359375
0.1,3,100,47,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.92,3422.6846294496504,15.159412611350577,,0.0
0.1,3,100,47,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.9016666666666666,2338.000643671802,15.546755588677415,,0.0010001659393310547
0.1,3,100,48,CQHR,Gaussian,cqr,native,0.9,0.0,0.9033333333333333,16292749.267156566,181.7112563411557,24.32264773838972,0.0
