alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test
0.1,10,10,49,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.00099945068359375,True,7200,800
0.1,10,10,49,Unscaled,Gaussian,absolute_residual,0.85625,3643626641157.0635,18.036546545919848,0.0,True,7200,800
0.1,10,10,49,Empirical_copula,Gaussian,absolute_residual,0.215,245329286.1116322,18.036546545843734,0.0,True,7200,800
0.1,10,10,50,TSCP_R,Gaussian,absolute_residual,0.8975,224916379688.214,37.15813960032726,0.0020017623901367188,True,7200,800
0.1,10,10,50,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0010001659393310547,True,7200,800
0.1,10,10,50,Unscaled,Gaussian,absolute_residual,0.97625,50481346219808.67,23.45919432689598,0.0,True,7200,800
0.1,10,10,50,Empirical_copula,Gaussian,absolute_residual,0.375,1030197233.466822,23.459194326798418,0.0,True,7200,800
0.1,10,10,51,TSCP_R,Gaussian,absolute_residual,0.9875,16716038958916.008,51.17649717475908,0.0020079612731933594,True,7200,800
0.1,10,10,51,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,51,Unscaled,Gaussian,absolute_residual,0.97,49681619309374.125,23.421762576177365,0.0,True,7200,800
0.1,10,10,51,Empirical_copula,Gaussian,absolute_residual,0.5825,8807168921.569836,23.42176257609997,0.0,True,7200,800
0.1,10,10,52,TSCP_R,Gaussian,absolute_residual,0.9925,8219143899857.138,50.2259042552767,0.0020058155059814453,True,7200,800
0.1,10,10,52,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,52,Unscaled,Gaussian,absolute_residual,0.9725,46135795841119.59,23.248974527297133,0.0,True,7200,800
0.1,10,10,52,Empirical_copula,Gaussian,absolute_residual,0.37,1375886957.6991916,23.248974527287714,0.0010042190551757812,True,7200,800
0.1,10,10,53,TSCP_R,Gaussian,absolute_residual,0.8675,137425875450.99364,24.503558411260766,0.0020003318786621094,True,7200,800
0.1,10,10,53,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0010061264038085938,True,7200,800
0.1,10,10,53,Unscaled,Gaussian,absolute_residual,0.675,465450372997.1756,14.682071620426608,0.0,True,7200,800
0.1,10,10,53,Empirical_copula,Gaussian,absolute_residual,0.29875,826841684.2683502,14.68207162038157,0.0,True,7200,800
0.1,10,10,54,TSCP_R,Gaussian,absolute_residual,1.0,666247611577052.2,77.65911062878804,0.0020020008087158203,True,7200,800
0.1,10,10,54,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,54,Unscaled,Gaussian,absolute_residual,0.97375,36339290781609.42,22.70061612640708,0.0,True,7200,800
0.1,10,10,54,Empirical_copula,Gaussian,absolute_residual,0.51375,2814758985.715584,22.700616126329685,0.0010061264038085938,True,7200,800
