alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime,redraw_train_test,n_train,n_test
0.1,3,50,5,CQHR,Gaussian,cqr,native,0.5,0.0,0.8916666666666667,1381729.6892549044,74.40031328110393,17.199516131095066,0.0,True,2400,600
0.1,3,50,5,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9,29585.618123556604,40.79646932725771,,0.0010001659393310547,True,2400,600
0.1,3,50,5,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.855,24045.526337459974,30.35756813980976,,0.0,True,2400,600
0.1,3,50,5,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.825,18832.063412775373,29.858598137397415,,0.0,True,2400,600
0.1,3,50,6,CQHR,Gaussian,cqr,native,0.5,0.0,0.9183333333333333,64122353.829811595,146.93757253937474,18.6782999139068,0.0,True,2400,600
0.1,3,50,6,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.89,24327.31438433323,36.991669789601,,0.001001119613647461,True,2400,600
0.1,3,50,6,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8983333333333333,30398.41251137993,32.512931572275086,,0.0,True,2400,600
0.1,3,50,6,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8733333333333333,21022.757029683507,36.70922466758899,,0.000997781753540039,True,2400,600
0.1,3,50,7,CQHR,Gaussian,cqr,native,0.5,0.0,0.8383333333333334,2583574.673490672,77.84046549474758,14.622200038237468,0.0,True,2400,600
0.1,3,50,7,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8983333333333333,26648.485524486867,35.176734406632306,,0.001993417739868164,True,2400,600
0.1,3,50,7,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.86,23186.451971904127,30.115557639192843,,0.0,True,2400,600
0.1,3,50,7,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8983333333333333,27887.76724072221,33.42163629144914,,0.0,True,2400,600
0.1,3,50,8,CQHR,Gaussian,cqr,native,0.5,0.0,0.845,3620958.1290527345,83.31923806403213,15.169302125047704,0.0010077953338623047,True,2400,600
0.1,3,50,8,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8433333333333334,22801.84620422187,37.10007596531763,,0.0009963512420654297,True,2400,600
0.1,3,50,8,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8866666666666667,30059.874794926898,32.69164411635734,,0.0,True,2400,600
0.1,3,50,8,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8116666666666666,21001.411714610414,36.462166879145265,,0.0,True,2400,600
0.1,3,50,9,CQHR,Gaussian,cqr,native,0.5,0.0,0.985,10473529.694595201,178.11572730877288,53.30387051504872,0.0,True,2400,600
0.1,3,50,9,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9516666666666667,39556.37562432971,47.460770672303916,,0.000997781753540039,True,2400,600
0.1,3,50,9,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9483333333333334,47182.5389371741,37.60901721553708,,0.0,True,2400,600
0.1,3,50,9,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.945,40316.46268523386,48.673883627620924,,0.0,True,2400,600
0.1,3,50,10,CQHR,Gaussian,cqr,native,0.5,0.0,0.9683333333333334,17839652.109754056,150.33248935041794,36.51779790964281,0.0,True,2400,600
0.1,3,50,10,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.785,24446.459896565124,39.9625885047391,,0.0,True,2400,600
0.1,3,50,10,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.935,42091.12788606305,36.4122006963496,,0.0,True,2400,600
0.1,3,50,10,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7833333333333333,18884.572926271656,38.60772839011681,,0.0,True,2400,600
0.1,3,50,11,CQHR,Gaussian,cqr,native,0.5,0.0,0.9116666666666666,6344830163.376449,902.4241688619014,18.48870148021149,0.0,True,2400,600
0.1,3,50,11,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8633333333333333,23818.24392940001,43.157467386142265,,0.0009996891021728516,True,2400,600
0.1,3,50,11,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.92,39639.12651109832,35.657549150897445,,0.0,True,2400,600
0.1,3,50,11,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.865,22342.366717599765,40.85727443849003,,0.0010001659393310547,True,2400,600
0.1,3,50,12,CQHR,Gaussian,cqr,native,0.5,0.0,0.9416666666666667,1130611.7853175462,92.3240004782374,26.556689130964926,0.0,True,2400,600
0.1,3,50,12,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.7983333333333333,15648.516686872927,31.342929687487782,,0.0010137557983398438,True,2400,600
0.1,3,50,12,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.84,23124.918509385345,30.00851044750858,,0.0009827613830566406,True,2400,600
0.1,3,50,12,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7816666666666666,14408.744669690921,31.106706776142218,,0.0,True,2400,600
0.1,3,50,13,CQHR,Gaussian,cqr,native,0.5,0.0,0.8566666666666667,372085.34444387467,67.92609855124101,15.829788436185524,0.0,True,2400,600
0.1,3,50,13,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.86,20731.238483861238,35.77459462327088,,0.0009980201721191406,True,2400,600
0.1,3,50,13,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.865,22266.392229020825,29.82089822109849,,0.0,True,2400,600
0.1,3,50,13,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8316666666666667,18096.52968890589,32.52178156382173,,0.0,True,2400,600
0.1,3,50,14,CQHR,Gaussian,cqr,native,0.5,0.0,0.9233333333333333,250631.14413759043,78.37975235850341,22.101134878756774,0.0,True,2400,600
