alpha,n_dim,n_cal,method,noise_type,coordinate,df,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,30,TSCP_R,t,5,1.5,absolute_residual,True,7200,800,200,80.60363368022885,527.6571877335688,23.747987217771623
0.1,10,30,TSCP_R,t,6,1.5,absolute_residual,True,7200,800,200,43.297713054343475,70.40182449513335,21.55326759438978
0.1,10,30,TSCP_R,t,7,1.5,absolute_residual,True,7200,800,200,46.5613339716509,68.58259058290075,23.116423842781664
0.1,10,30,TSCP_R,t,8,1.5,absolute_residual,True,7200,800,200,49.74170217968985,95.25952963584457,23.724491495086724
0.1,10,30,TSCP_R,t,9,1.5,absolute_residual,True,7200,800,200,45.99727323819573,93.38958428231858,24.15169303992466
0.1,10,30,TSCP_R,t,10,1.5,absolute_residual,True,7200,800,200,56.04367755790855,151.31980899771483,24.269295674343784
0.1,10,500,Empirical_copula,t,1,1.5,absolute_residual,True,7200,800,200,17.183146131588995,5.6293971422486715,16.22813601445357
0.1,10,500,Empirical_copula,t,2,1.5,absolute_residual,True,7200,800,200,18.141153795164843,6.15324721578096,17.412042407910455
0.1,10,500,Empirical_copula,t,3,1.5,absolute_residual,True,7200,800,200,17.461253885743766,5.385565209660915,15.904891897996956
0.1,10,500,Empirical_copula,t,4,1.5,absolute_residual,True,7200,800,200,17.260821673384427,5.370310898914865,16.125027703003006
0.1,10,500,Empirical_copula,t,5,1.5,absolute_residual,True,7200,800,200,17.258586392698042,6.026643728915661,15.995275121402024
0.1,10,500,Empirical_copula,t,6,1.5,absolute_residual,True,7200,800,200,17.187563525771534,5.171142487614103,16.329662968064824
0.1,10,500,Empirical_copula,t,7,1.5,absolute_residual,True,7200,800,200,16.592622210607068,4.511926134942649,15.66933527656311
0.1,10,500,Empirical_copula,t,8,1.5,absolute_residual,True,7200,800,200,17.58295729753684,5.364430153793186,16.5840667047649
0.1,10,500,Empirical_copula,t,9,1.5,absolute_residual,True,7200,800,200,18.145725892288606,5.960653061113716,16.67737860288128
0.1,10,500,Empirical_copula,t,10,1.5,absolute_residual,True,7200,800,200,17.157790001292454,4.839673076005639,16.356740833148585
0.1,10,500,Point_CHR,t,1,1.5,absolute_residual,True,7200,800,200,18.125808252131527,3.544812207963949,17.895485416861995
0.1,10,500,Point_CHR,t,2,1.5,absolute_residual,True,7200,800,200,18.689638658200263,4.712915735609993,18.19535316878314
0.1,10,500,Point_CHR,t,3,1.5,absolute_residual,True,7200,800,200,18.47392896525401,5.2667049238620605,17.55763969861347
0.1,10,500,Point_CHR,t,4,1.5,absolute_residual,True,7200,800,200,17.903038179396784,3.4732473975654194,17.75521556486686
0.1,10,500,Point_CHR,t,5,1.5,absolute_residual,True,7200,800,200,17.726410468721344,3.6623912579036872,17.305343820973018
0.1,10,500,Point_CHR,t,6,1.5,absolute_residual,True,7200,800,200,18.67885167253034,6.256204553706774,17.659723862882934
0.1,10,500,Point_CHR,t,7,1.5,absolute_residual,True,7200,800,200,17.786664345087903,3.1585709032274583,17.430725037667486
0.1,10,500,Point_CHR,t,8,1.5,absolute_residual,True,7200,800,200,18.805541758984923,6.04031424317274,18.067802529925018
0.1,10,500,Point_CHR,t,9,1.5,absolute_residual,True,7200,800,200,18.182204446542933,3.6080370992784196,17.893280876042233
0.1,10,500,Point_CHR,t,10,1.5,absolute_residual,True,7200,800,200,18.402919721496787,6.6467795105852545,17.741105040181957
0.1,10,500,TSCP_R,t,1,1.5,absolute_residual,True,7200,800,200,39.25712398513913,183.56338705472018,18.075296199479336
0.1,10,500,TSCP_R,t,2,1.5,absolute_residual,True,7200,800,200,28.939132712001175,45.704966050848626,18.639556237789446
0.1,10,500,TSCP_R,t,3,1.5,absolute_residual,True,7200,800,200,27.93848528378278,49.717744966956744,18.40611262545143
0.1,10,500,TSCP_R,t,4,1.5,absolute_residual,True,7200,800,200,32.23006984334067,70.79952231032941,18.55649858936637
0.1,10,500,TSCP_R,t,5,1.5,absolute_residual,True,7200,800,200,31.59505443857678,95.28150851256868,17.633393628963947
