alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,noise_ratio
0.1,10,100,42,Point_CHR,Gaussian,absolute_residual,0.8575,9320.418751123767,2.9251849772432705,0.0,1
0.1,10,100,42,Unscaled,Gaussian,absolute_residual,0.89125,9811.044778360787,2.5070992431860657,0.0,1
0.1,10,100,42,Empirical_copula,Gaussian,absolute_residual,0.84625,6750.5250936616085,2.6392994041970237,0.0009999275207519531,1
0.1,10,100,43,TSCP_R,Gaussian,absolute_residual,0.886875,14776.136465311709,2.95497056986677,0.004004716873168945,1
0.1,10,100,43,Point_CHR,Gaussian,absolute_residual,0.845,9884.063414142363,2.995808285902341,0.0,1
0.1,10,100,43,Unscaled,Gaussian,absolute_residual,0.8975,12630.804983026612,2.5712428851690503,0.0,1
0.1,10,100,43,Empirical_copula,Gaussian,absolute_residual,0.836875,8332.483376881713,3.0591211614735627,0.0009996891021728516,1
0.1,10,100,44,TSCP_R,Gaussian,absolute_residual,0.865,10112.395133399541,2.984882307658169,0.003991842269897461,1
0.1,10,100,44,Point_CHR,Gaussian,absolute_residual,0.90625,28154.98506154207,3.2767973291356007,0.0,1
0.1,10,100,44,Unscaled,Gaussian,absolute_residual,0.879375,10602.450095550133,2.526624038273364,0.0,1
0.1,10,100,44,Empirical_copula,Gaussian,absolute_residual,0.784375,4451.396947923887,2.937403842653758,0.0009999275207519531,1
0.1,10,100,45,TSCP_R,Gaussian,absolute_residual,0.918125,15223.93591366642,2.9374344660417444,0.002997875213623047,1
0.1,10,100,45,Point_CHR,Gaussian,absolute_residual,0.9475,34944.11735063993,3.3481794718823332,0.00099945068359375,1
0.1,10,100,45,Unscaled,Gaussian,absolute_residual,0.896875,10612.569340224569,2.5268650821096093,0.0,1
0.1,10,100,45,Empirical_copula,Gaussian,absolute_residual,0.848125,6623.368057427237,2.628231133044359,0.001001119613647461,1
0.1,10,100,46,TSCP_R,Gaussian,absolute_residual,0.940625,31147.759590017955,3.0803478326209874,0.003999233245849609,1
0.1,10,100,46,Point_CHR,Gaussian,absolute_residual,0.94125,28206.313833522832,3.2160292458872575,0.0009961128234863281,1
0.1,10,100,46,Unscaled,Gaussian,absolute_residual,0.93125,23146.276346498227,2.7317950477283057,0.0,1
0.1,10,100,46,Empirical_copula,Gaussian,absolute_residual,0.868125,10303.248952446904,3.0594833261502705,0.0010061264038085938,1
0.1,10,100,47,TSCP_R,Gaussian,absolute_residual,0.8475,7464.6986850365665,2.6732501256556014,0.004008769989013672,1
0.1,10,100,47,Point_CHR,Gaussian,absolute_residual,0.9175,27739.807035512214,3.138303950946814,0.0,1
0.1,10,100,47,Unscaled,Gaussian,absolute_residual,0.86125,7680.817835822133,2.446474799232647,0.0,1
0.1,10,100,47,Empirical_copula,Gaussian,absolute_residual,0.789375,4061.5230032418376,2.5437850984265644,0.0009984970092773438,1
0.1,10,100,48,TSCP_R,Gaussian,absolute_residual,0.92,18082.39589981524,2.878051936089495,0.003987789154052734,1
0.1,10,100,48,Point_CHR,Gaussian,absolute_residual,0.904375,20160.07433055333,3.179944421886936,0.0010075569152832031,1
0.1,10,100,48,Unscaled,Gaussian,absolute_residual,0.911875,14144.052436754884,2.6005031595861197,0.0,1
0.1,10,100,48,Empirical_copula,Gaussian,absolute_residual,0.78875,5327.230395123373,2.6610078787196265,0.0009992122650146484,1
0.1,10,100,49,TSCP_R,Gaussian,absolute_residual,0.943125,28867.992270459123,2.9450672204275605,0.003997325897216797,1
0.1,10,100,49,Point_CHR,Gaussian,absolute_residual,0.93875,31211.98991827443,3.2320709343242404,0.0,1
0.1,10,100,49,Unscaled,Gaussian,absolute_residual,0.935625,21920.32467939783,2.7169690939004236,0.0,1
0.1,10,100,49,Empirical_copula,Gaussian,absolute_residual,0.8625,9965.891321925375,2.7169690938373954,0.0010001659393310547,1
0.1,10,100,50,TSCP_R,Gaussian,absolute_residual,0.9125,13650.490874264116,2.897885626447496,0.002997159957885742,1
0.1,10,100,50,Point_CHR,Gaussian,absolute_residual,0.948125,28457.569120707623,3.064609088098451,0.0010004043579101562,1
0.1,10,100,50,Unscaled,Gaussian,absolute_residual,0.893125,9139.951547780123,2.4893983040890095,0.0,1
0.1,10,100,50,Empirical_copula,Gaussian,absolute_residual,0.824375,5370.885413252275,2.9420985372522828,0.0009999275207519531,1
0.1,10,100,51,TSCP_R,Gaussian,absolute_residual,0.8875,11616.464748604381,2.8298439122694083,0.0039997100830078125,1
0.1,10,100,51,Point_CHR,Gaussian,absolute_residual,0.870625,9353.734256001304,2.8487430775219,0.0,1
0.1,10,100,51,Unscaled,Gaussian,absolute_residual,0.845625,6727.849526688432,2.414279945943315,0.0,1
0.1,10,100,51,Empirical_copula,Gaussian,absolute_residual,0.779375,3663.0770581597394,2.4558766960819085,0.0010271072387695312,1
0.1,10,100,52,TSCP_R,Gaussian,absolute_residual,0.891875,13324.211567577315,3.024572791483978,0.0030090808868408203,1
0.1,10,100,52,Point_CHR,Gaussian,absolute_residual,0.885,20055.530666787778,3.306612260081441,0.0010008811950683594,1
0.1,10,100,52,Unscaled,Gaussian,absolute_residual,0.89125,11016.923880153568,2.5363316133817126,0.0,1
0.1,10,100,52,Empirical_copula,Gaussian,absolute_residual,0.8225,5834.187986195093,2.7927412186397182,0.00099945068359375,1
0.1,10,100,53,TSCP_R,Gaussian,absolute_residual,0.92125,17681.417283648596,2.909598929647017,0.003999233245849609,1
0.1,10,100,53,Point_CHR,Gaussian,absolute_residual,0.905625,18626.564210061857,3.390033757909,0.0,1
0.1,10,100,53,Unscaled,Gaussian,absolute_residual,0.894375,11552.8228845627,2.5484071301976114,0.0,1
0.1,10,100,53,Empirical_copula,Gaussian,absolute_residual,0.87,8894.829953762879,2.647471462071941,0.0009992122650146484,1
0.1,10,100,54,TSCP_R,Gaussian,absolute_residual,0.96375,43772.63663014133,3.186398847757175,0.003007650375366211,1
0.1,10,100,54,Point_CHR,Gaussian,absolute_residual,0.963125,62410.72790062869,3.9328006685559673,0.0009996891021728516,1
0.1,10,100,54,Unscaled,Gaussian,absolute_residual,0.961875,36570.828845518976,2.859653940117211,0.0,1
0.1,10,100,54,Empirical_copula,Gaussian,absolute_residual,0.881875,12545.541035009313,3.245650826480997,0.00099945068359375,1
0.1,10,100,55,TSCP_R,Gaussian,absolute_residual,0.848125,9298.88405907011,2.7972022378140426,0.0040090084075927734,1
0.1,10,100,55,Point_CHR,Gaussian,absolute_residual,0.863125,13163.850776993106,3.149349203396424,0.0,1
0.1,10,100,55,Unscaled,Gaussian,absolute_residual,0.868125,9370.533392305539,2.4956083569316037,0.0009982585906982422,1
0.1,10,100,55,Empirical_copula,Gaussian,absolute_residual,0.765,3760.942200306476,2.6526240854441063,0.0009961128234863281,1
