alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,50,TSCP_R,Gaussian,10,0.0,equicorrelated,absolute_residual,200,2.7769452959510854,0.3445830166151827,2.7592526707954272
0.1,10,50,Unscaled,Gaussian,1,0.0,equicorrelated,absolute_residual,200,19.911047193233557,1.6104483813485935,19.846999315040648
0.1,10,50,Unscaled,Gaussian,2,0.0,equicorrelated,absolute_residual,200,19.911047193233557,1.6104483813485935,19.846999315040648
0.1,10,50,Unscaled,Gaussian,3,0.0,equicorrelated,absolute_residual,200,19.911047193233557,1.6104483813485935,19.846999315040648
0.1,10,50,Unscaled,Gaussian,4,0.0,equicorrelated,absolute_residual,200,19.911047193233557,1.6104483813485935,19.846999315040648
0.1,10,50,Unscaled,Gaussian,5,0.0,equicorrelated,absolute_residual,200,19.911047193233557,1.6104483813485935,19.846999315040648
0.1,10,50,Unscaled,Gaussian,6,0.0,equicorrelated,absolute_residual,200,19.911047193233557,1.6104483813485935,19.846999315040648
0.1,10,50,Unscaled,Gaussian,7,0.0,equicorrelated,absolute_residual,200,19.911047193233557,1.6104483813485935,19.846999315040648
0.1,10,50,Unscaled,Gaussian,8,0.0,equicorrelated,absolute_residual,200,19.911047193233557,1.6104483813485935,19.846999315040648
0.1,10,50,Unscaled,Gaussian,9,0.0,equicorrelated,absolute_residual,200,19.911047193233557,1.6104483813485935,19.846999315040648
0.1,10,50,Unscaled,Gaussian,10,0.0,equicorrelated,absolute_residual,200,19.911047193233557,1.6104483813485935,19.846999315040648
0.1,10,100,Empirical_copula,Gaussian,1,0.0,equicorrelated,absolute_residual,200,24.286123070959242,2.750838802506941,24.155944490539788
0.1,10,100,Empirical_copula,Gaussian,2,0.0,equicorrelated,absolute_residual,200,21.48357871055813,2.538750918239442,21.377554936141532
0.1,10,100,Empirical_copula,Gaussian,3,0.0,equicorrelated,absolute_residual,200,19.406225914188543,2.4340040784116943,19.30350417329725
0.1,10,100,Empirical_copula,Gaussian,4,0.0,equicorrelated,absolute_residual,200,17.06735445437814,2.0894454192101706,16.797430348279978
0.1,10,100,Empirical_copula,Gaussian,5,0.0,equicorrelated,absolute_residual,200,14.573976033276997,1.6173834358750405,14.403993593203523
0.1,10,100,Empirical_copula,Gaussian,6,0.0,equicorrelated,absolute_residual,200,12.12645307935008,1.404039008936179,12.087157312613467
0.1,10,100,Empirical_copula,Gaussian,7,0.0,equicorrelated,absolute_residual,200,9.643340688571023,1.1233260536953518,9.580628959229593
0.1,10,100,Empirical_copula,Gaussian,8,0.0,equicorrelated,absolute_residual,200,7.257646771707536,0.7905167567792386,7.142111288887796
0.1,10,100,Empirical_copula,Gaussian,9,0.0,equicorrelated,absolute_residual,200,4.847249920754303,0.5313378771729117,4.834225033915963
0.1,10,100,Empirical_copula,Gaussian,10,0.0,equicorrelated,absolute_residual,200,2.4335726342876116,0.2886044770548981,2.393285835128349
0.1,10,100,Point_CHR,Gaussian,1,0.0,equicorrelated,absolute_residual,200,27.125579172484077,4.3045737855670465,26.81739391701287
0.1,10,100,Point_CHR,Gaussian,2,0.0,equicorrelated,absolute_residual,200,24.150320820520424,3.557378734616942,23.8593630680464
0.1,10,100,Point_CHR,Gaussian,3,0.0,equicorrelated,absolute_residual,200,21.847074935457723,3.3030786044447242,21.516352827394346
0.1,10,100,Point_CHR,Gaussian,4,0.0,equicorrelated,absolute_residual,200,19.030987506563523,2.5784614445032843,18.797755657141295
0.1,10,100,Point_CHR,Gaussian,5,0.0,equicorrelated,absolute_residual,200,16.373298876120604,2.362480278888555,15.920956813902066
0.1,10,100,Point_CHR,Gaussian,6,0.0,equicorrelated,absolute_residual,200,13.754823893221399,1.9784612049598505,13.546794097908936
0.1,10,100,Point_CHR,Gaussian,7,0.0,equicorrelated,absolute_residual,200,10.8883523818987,1.5821140364992055,10.755064749446657
0.1,10,100,Point_CHR,Gaussian,8,0.0,equicorrelated,absolute_residual,200,8.171192288196327,1.1497679616238827,8.064225310021278
0.1,10,100,Point_CHR,Gaussian,9,0.0,equicorrelated,absolute_residual,200,5.532549792202288,0.7530523260202852,5.471922817293365
0.1,10,100,Point_CHR,Gaussian,10,0.0,equicorrelated,absolute_residual,200,2.718648377734274,0.3569238623621558,2.662034053868594
0.1,10,100,TSCP_R,Gaussian,1,0.0,equicorrelated,absolute_residual,200,26.415892859299603,2.227681976473329,26.413295203306976
0.1,10,100,TSCP_R,Gaussian,2,0.0,equicorrelated,absolute_residual,200,23.518318471144863,2.0500110623971457,23.46877583428224
0.1,10,100,TSCP_R,Gaussian,3,0.0,equicorrelated,absolute_residual,200,21.122283760629212,1.8000813055907967,21.20494336151897
0.1,10,100,TSCP_R,Gaussian,4,0.0,equicorrelated,absolute_residual,200,18.548171523145992,1.5666706923011553,18.541564048282574
0.1,10,100,TSCP_R,Gaussian,5,0.0,equicorrelated,absolute_residual,200,15.83054904526627,1.2330451203277373,15.818580531074979
0.1,10,100,TSCP_R,Gaussian,6,0.0,equicorrelated,absolute_residual,200,13.218758778937618,1.1275501587014287,13.2690995819631
0.1,10,100,TSCP_R,Gaussian,7,0.0,equicorrelated,absolute_residual,200,10.562169254486676,0.8442097141442535,10.570018352577636
0.1,10,100,TSCP_R,Gaussian,8,0.0,equicorrelated,absolute_residual,200,7.907087903896272,0.6431133701381667,7.90649579965411
0.1,10,100,TSCP_R,Gaussian,9,0.0,equicorrelated,absolute_residual,200,5.298754569394719,0.3962364005500167,5.337771962150778
0.1,10,100,TSCP_R,Gaussian,10,0.0,equicorrelated,absolute_residual,200,2.6449501715687784,0.22589140736772306,2.622555383124149
0.1,10,100,Unscaled,Gaussian,1,0.0,equicorrelated,absolute_residual,200,19.673144260282356,1.188756362716874,19.63191915619518
0.1,10,100,Unscaled,Gaussian,2,0.0,equicorrelated,absolute_residual,200,19.673144260282356,1.188756362716874,19.63191915619518
0.1,10,100,Unscaled,Gaussian,3,0.0,equicorrelated,absolute_residual,200,19.673144260282356,1.188756362716874,19.63191915619518
0.1,10,100,Unscaled,Gaussian,4,0.0,equicorrelated,absolute_residual,200,19.673144260282356,1.188756362716874,19.63191915619518
0.1,10,100,Unscaled,Gaussian,5,0.0,equicorrelated,absolute_residual,200,19.673144260282356,1.188756362716874,19.63191915619518
0.1,10,100,Unscaled,Gaussian,6,0.0,equicorrelated,absolute_residual,200,19.673144260282356,1.188756362716874,19.63191915619518
0.1,10,100,Unscaled,Gaussian,7,0.0,equicorrelated,absolute_residual,200,19.673144260282356,1.188756362716874,19.63191915619518
0.1,10,100,Unscaled,Gaussian,8,0.0,equicorrelated,absolute_residual,200,19.673144260282356,1.188756362716874,19.63191915619518
0.1,10,100,Unscaled,Gaussian,9,0.0,equicorrelated,absolute_residual,200,19.673144260282356,1.188756362716874,19.63191915619518
0.1,10,100,Unscaled,Gaussian,10,0.0,equicorrelated,absolute_residual,200,19.673144260282356,1.188756362716874,19.63191915619518
