alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,noise_ratio
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,200,2.432335577182991,0.28167516664775777,2.387080204656253,20
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,200,54.877872657451114,7.666709154051323,54.52645178594116,20
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,200,39.095730626576376,5.058485904595395,39.332064324152,20
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,200,28.179477120081188,3.824902358353208,28.28992231710032,20
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,200,19.919472231465644,2.896450514511781,19.640908555909476,20
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,200,14.324024905715685,1.8737867780546933,13.996591971343063,20
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,200,10.414064265422917,1.4432260139784436,10.36430246540164,20
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,200,7.4650662728844885,0.9956070698810585,7.440959693557984,20
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,200,5.3485739889314425,0.7058160366853546,5.307069046513099,20
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,200,3.770469455653242,0.5116934268825295,3.7405065954019374,20
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,200,2.694452317258649,0.38652091086685053,2.6220804364047163,20
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,200,52.867989081037784,4.3743937847383,52.84148127971794,20
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,200,38.00816321418983,2.940698531254162,38.05771716362909,20
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,200,27.376953096915877,2.371612047172721,27.455094869630862,20
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,200,19.53791018063255,1.6738963166127812,19.502900235677714,20
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,200,13.824474079782663,1.1438568067365031,13.891565617028057,20
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,200,9.983609729803877,0.8030760891017693,9.94126263013365,20
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,200,7.120991274518445,0.6260611754810708,7.109216690026298,20
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,200,5.202777214360768,0.4603457426562583,5.177754160687597,20
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,200,3.68399432484267,0.33409964540524567,3.669774007024309,20
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,200,2.629627878697779,0.23839663387160812,2.6042759761882865,20
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,200,35.10370821258202,2.479789213157476,35.065302639704576,20
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,200,35.10370821258202,2.479789213157476,35.065302639704576,20
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,200,35.10370821258202,2.479789213157476,35.065302639704576,20
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,200,35.10370821258202,2.479789213157476,35.065302639704576,20
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,200,35.10370821258202,2.479789213157476,35.065302639704576,20
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,200,35.10370821258202,2.479789213157476,35.065302639704576,20
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,200,35.10370821258202,2.479789213157476,35.065302639704576,20
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,200,35.10370821258202,2.479789213157476,35.065302639704576,20
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,200,35.10370821258202,2.479789213157476,35.065302639704576,20
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,200,35.10370821258202,2.479789213157476,35.065302639704576,20
