alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,correlation,correlation_structure
0.2,10,100,12,Empirical_copula,Gaussian,absolute_residual,0.775625,5213211377.873556,22.14822682403745,0.0010006427764892578,0.6,equicorrelated
0.05,10,100,13,TSCP_R,Gaussian,absolute_residual,0.98,213291201707.56946,28.241314681745784,0.003998517990112305,0.6,equicorrelated
0.05,10,100,13,Point_CHR,Gaussian,absolute_residual,0.994375,1261147570591.8276,34.06842893713026,0.0010023117065429688,0.6,equicorrelated
0.05,10,100,13,Unscaled,Gaussian,absolute_residual,0.966875,38553645716242.78,22.835290728405887,0.0,0.6,equicorrelated
0.05,10,100,13,Empirical_copula,Gaussian,absolute_residual,0.94625,62359669929.63811,26.053547067061082,0.0009984970092773438,0.6,equicorrelated
0.1,10,100,13,TSCP_R,Gaussian,absolute_residual,0.939375,62653913780.954025,24.947282482303137,0.003000020980834961,0.6,equicorrelated
0.1,10,100,13,Point_CHR,Gaussian,absolute_residual,0.92625,59396475054.457214,28.8883611148463,0.0,0.6,equicorrelated
0.1,10,100,13,Unscaled,Gaussian,absolute_residual,0.93875,12353392534556.898,20.378800799634117,0.0009999275207519531,0.6,equicorrelated
0.1,10,100,13,Empirical_copula,Gaussian,absolute_residual,0.914375,32173604825.937492,25.156261759211404,0.0010018348693847656,0.6,equicorrelated
0.2,10,100,13,TSCP_R,Gaussian,absolute_residual,0.8725,16803278775.034197,21.909103594191905,0.0029993057250976562,0.6,equicorrelated
0.2,10,100,13,Point_CHR,Gaussian,absolute_residual,0.883125,22616796508.596176,24.830572432447674,0.0010020732879638672,0.6,equicorrelated
0.2,10,100,13,Unscaled,Gaussian,absolute_residual,0.856875,1787871337094.2388,16.797073639254993,0.0,0.6,equicorrelated
0.2,10,100,13,Empirical_copula,Gaussian,absolute_residual,0.845,10400071192.97825,21.32228326716756,0.0009984970092773438,0.6,equicorrelated
0.05,10,100,14,TSCP_R,Gaussian,absolute_residual,0.928125,44465338220.309616,27.1965854049055,0.003999948501586914,0.6,equicorrelated
0.05,10,100,14,Point_CHR,Gaussian,absolute_residual,0.930625,72312622992.68127,29.985364616563928,0.0,0.6,equicorrelated
0.05,10,100,14,Unscaled,Gaussian,absolute_residual,0.9525,21645781137619.35,21.55446889732344,0.0,0.6,equicorrelated
0.05,10,100,14,Empirical_copula,Gaussian,absolute_residual,0.899375,66520423955.26616,26.120725658971406,0.0010006427764892578,0.6,equicorrelated
0.1,10,100,14,TSCP_R,Gaussian,absolute_residual,0.886875,20094985407.772327,25.241255245501982,0.003997802734375,0.6,equicorrelated
0.1,10,100,14,Point_CHR,Gaussian,absolute_residual,0.89,22004316516.64843,25.982340253423835,0.0,0.6,equicorrelated
0.1,10,100,14,Unscaled,Gaussian,absolute_residual,0.9025,4795065973450.848,18.538707772909653,0.0,0.6,equicorrelated
0.1,10,100,14,Empirical_copula,Gaussian,absolute_residual,0.856875,16068769342.152412,22.407042810914902,0.0010058879852294922,0.6,equicorrelated
0.2,10,100,14,TSCP_R,Gaussian,absolute_residual,0.76625,4122954338.124614,21.477408199271665,0.0019996166229248047,0.6,equicorrelated
0.2,10,100,14,Point_CHR,Gaussian,absolute_residual,0.786875,6331935381.807483,24.364365073115202,0.0009996891021728516,0.6,equicorrelated
0.2,10,100,14,Unscaled,Gaussian,absolute_residual,0.8225,1089395921309.385,15.985218409010145,0.0,0.6,equicorrelated
0.2,10,100,14,Empirical_copula,Gaussian,absolute_residual,0.693125,1906887418.3931057,20.092294159642115,0.0010077953338623047,0.6,equicorrelated
0.05,10,100,15,TSCP_R,Gaussian,absolute_residual,0.968125,151667945635.07056,29.897192836164027,0.00400853157043457,0.6,equicorrelated
0.05,10,100,15,Point_CHR,Gaussian,absolute_residual,0.9925,974862359570.7776,40.121967374032906,0.0,0.6,equicorrelated
0.05,10,100,15,Unscaled,Gaussian,absolute_residual,0.978125,62366389793789.0,23.960454977456376,0.0,0.6,equicorrelated
0.05,10,100,15,Empirical_copula,Gaussian,absolute_residual,0.953125,199732398688.89856,29.85002351240994,0.0010118484497070312,0.6,equicorrelated
0.1,10,100,15,TSCP_R,Gaussian,absolute_residual,0.863125,13907139506.276014,24.4759942689781,0.002988100051879883,0.6,equicorrelated
0.1,10,100,15,Point_CHR,Gaussian,absolute_residual,0.895625,28089865179.957653,27.074668515281566,0.00099945068359375,0.6,equicorrelated
0.1,10,100,15,Unscaled,Gaussian,absolute_residual,0.913125,6815911719451.282,19.20226220636549,0.0,0.6,equicorrelated
0.1,10,100,15,Empirical_copula,Gaussian,absolute_residual,0.824375,12213093587.03035,27.763698129119533,0.0009999275207519531,0.6,equicorrelated
0.2,10,100,15,TSCP_R,Gaussian,absolute_residual,0.75375,3659568080.805228,21.43763349137135,0.003009319305419922,0.6,equicorrelated
0.2,10,100,15,Point_CHR,Gaussian,absolute_residual,0.803125,11160246300.514305,26.752511954459443,0.0,0.6,equicorrelated
0.2,10,100,15,Unscaled,Gaussian,absolute_residual,0.815625,1090025212298.2451,15.98614155731644,0.0,0.6,equicorrelated
0.2,10,100,15,Empirical_copula,Gaussian,absolute_residual,0.699375,2192555583.604161,19.26688864521146,0.0009908676147460938,0.6,equicorrelated
0.05,10,100,16,TSCP_R,Gaussian,absolute_residual,0.91,35417947159.489044,25.911075707320343,0.004998445510864258,0.6,equicorrelated
0.05,10,100,16,Point_CHR,Gaussian,absolute_residual,0.939375,109850087579.10715,29.715872868642098,0.0,0.6,equicorrelated
0.05,10,100,16,Unscaled,Gaussian,absolute_residual,0.91375,7777200172009.261,19.45728891795665,0.0,0.6,equicorrelated
0.05,10,100,16,Empirical_copula,Gaussian,absolute_residual,0.865,24492428592.191216,29.094505787525996,0.0010018348693847656,0.6,equicorrelated
0.1,10,100,16,TSCP_R,Gaussian,absolute_residual,0.853125,15081593030.73316,23.578601726624463,0.0029993057250976562,0.6,equicorrelated
