alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test
0.1,2,30,34,TSCP_R,Gaussian,absolute_residual,1,4.921835416932976,True,2400,600
0.1,2,30,34,TSCP_R,Gaussian,absolute_residual,2,2.5370211282625235,True,2400,600
0.1,2,30,34,Point_CHR,Gaussian,absolute_residual,1,4.921052014575075,True,2400,600
0.1,2,30,34,Point_CHR,Gaussian,absolute_residual,2,3.7624404404916243,True,2400,600
0.1,2,30,34,Unscaled,Gaussian,absolute_residual,1,3.215596348970826,True,2400,600
0.1,2,30,34,Unscaled,Gaussian,absolute_residual,2,3.215596348970826,True,2400,600
0.1,2,30,35,TSCP_R,Gaussian,absolute_residual,1,4.084489594957503,True,2400,600
0.1,2,30,35,TSCP_R,Gaussian,absolute_residual,2,2.3130444749539594,True,2400,600
0.1,2,30,35,Point_CHR,Gaussian,absolute_residual,1,3.7044471820444116,True,2400,600
0.1,2,30,35,Point_CHR,Gaussian,absolute_residual,2,2.1819239420353806,True,2400,600
0.1,2,30,35,Unscaled,Gaussian,absolute_residual,1,3.606971494712243,True,2400,600
0.1,2,30,35,Unscaled,Gaussian,absolute_residual,2,3.606971494712243,True,2400,600
0.1,2,30,36,TSCP_R,Gaussian,absolute_residual,1,3.9850257468258814,True,2400,600
0.1,2,30,36,TSCP_R,Gaussian,absolute_residual,2,2.273451861103394,True,2400,600
0.1,2,30,36,Point_CHR,Gaussian,absolute_residual,1,3.9176639286419985,True,2400,600
0.1,2,30,36,Point_CHR,Gaussian,absolute_residual,2,3.2912164774229957,True,2400,600
0.1,2,30,36,Unscaled,Gaussian,absolute_residual,1,3.75618959136783,True,2400,600
0.1,2,30,36,Unscaled,Gaussian,absolute_residual,2,3.75618959136783,True,2400,600
0.1,2,30,37,TSCP_R,Gaussian,absolute_residual,1,3.2286907680507975,True,2400,600
0.1,2,30,37,TSCP_R,Gaussian,absolute_residual,2,1.7537047892128323,True,2400,600
0.1,2,30,37,Point_CHR,Gaussian,absolute_residual,1,4.352546449105439,True,2400,600
0.1,2,30,37,Point_CHR,Gaussian,absolute_residual,2,2.3397355644884454,True,2400,600
0.1,2,30,37,Unscaled,Gaussian,absolute_residual,1,2.5947162077769437,True,2400,600
0.1,2,30,37,Unscaled,Gaussian,absolute_residual,2,2.5947162077769437,True,2400,600
0.1,2,30,38,TSCP_R,Gaussian,absolute_residual,1,5.10662212343143,True,2400,600
0.1,2,30,38,TSCP_R,Gaussian,absolute_residual,2,2.1708400884002756,True,2400,600
0.1,2,30,38,Point_CHR,Gaussian,absolute_residual,1,6.604058456971737,True,2400,600
0.1,2,30,38,Point_CHR,Gaussian,absolute_residual,2,2.512360817875097,True,2400,600
0.1,2,30,38,Unscaled,Gaussian,absolute_residual,1,3.8643371239769024,True,2400,600
