alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,300,Empirical_copula,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,10.043311277262527,0.7142653073093875,10.067116522443044
0.1,10,300,Empirical_copula,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,7.545891686647487,0.5025570212059762,7.529572012637487
0.1,10,300,Empirical_copula,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,5.005749892222008,0.37055090984396044,4.994004191969092
0.1,10,300,Empirical_copula,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,2.5191543093119133,0.1899146306047213,2.501734280634706
0.1,10,300,Point_CHR,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,26.16140454341672,2.0366350195232945,25.974458731681345
0.1,10,300,Point_CHR,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,23.584504242908174,1.8064928300059746,23.4342907517241
0.1,10,300,Point_CHR,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,20.911756103716083,1.783226303389829,20.810598635804837
0.1,10,300,Point_CHR,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,18.259469908063643,1.4070173686568268,18.20563289806197
0.1,10,300,Point_CHR,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,15.759191455668061,1.2993107856248587,15.814519434895278
0.1,10,300,Point_CHR,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,13.185089444686065,1.0998691500097693,13.153903785795132
0.1,10,300,Point_CHR,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,10.413303912949653,0.8215646701890617,10.434269128691046
0.1,10,300,Point_CHR,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,7.830542893370338,0.6169363792591829,7.819309479321418
0.1,10,300,Point_CHR,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,5.192360304963411,0.44376577683969526,5.187500499396132
0.1,10,300,Point_CHR,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,2.6150439241109638,0.21173276719010042,2.6065388996571905
0.1,10,300,TSCP_R,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,25.98268537004861,1.2577595991462809,25.911617820709754
0.1,10,300,TSCP_R,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,23.304088470813635,1.198106341775311,23.279815711134237
0.1,10,300,TSCP_R,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,20.72909467143646,1.0724328202548283,20.783154175139213
0.1,10,300,TSCP_R,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,18.09540598321322,0.8238349229047549,18.195215050506256
0.1,10,300,TSCP_R,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,15.604533937074466,0.7675428144152516,15.577855647918598
0.1,10,300,TSCP_R,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,12.965450296906413,0.6724911790695604,12.96621386382222
0.1,10,300,TSCP_R,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,10.322941928441615,0.4824254343224838,10.320760362607867
0.1,10,300,TSCP_R,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,7.769929842381933,0.3479959873505098,7.790483118154141
0.1,10,300,TSCP_R,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,5.162269062901197,0.2512558667034876,5.192000160919578
0.1,10,300,TSCP_R,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,2.5856462792969417,0.12199663950765521,2.5913786915735706
0.1,10,300,Unscaled,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.580134990356985,0.7209696663766936,19.575340218894123
0.1,10,300,Unscaled,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.580134990356985,0.7209696663766936,19.575340218894123
0.1,10,300,Unscaled,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.580134990356985,0.7209696663766936,19.575340218894123
0.1,10,300,Unscaled,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.580134990356985,0.7209696663766936,19.575340218894123
0.1,10,300,Unscaled,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.580134990356985,0.7209696663766936,19.575340218894123
0.1,10,300,Unscaled,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.580134990356985,0.7209696663766936,19.575340218894123
0.1,10,300,Unscaled,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.580134990356985,0.7209696663766936,19.575340218894123
0.1,10,300,Unscaled,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.580134990356985,0.7209696663766936,19.575340218894123
0.1,10,300,Unscaled,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.580134990356985,0.7209696663766936,19.575340218894123
0.1,10,300,Unscaled,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,19.580134990356985,0.7209696663766936,19.575340218894123
0.1,10,500,Empirical_copula,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,25.315719331098176,1.499390007021691,25.329199727484042
0.1,10,500,Empirical_copula,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,22.856238169690652,1.333309647507196,22.74405810482146
0.1,10,500,Empirical_copula,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,20.354618709253103,1.1713580973576354,20.272153199072356
0.1,10,500,Empirical_copula,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,17.788630323049386,0.9971899330263733,17.841085883174962
0.1,10,500,Empirical_copula,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,15.208676573065055,0.8859414472396437,15.227712215368001
0.1,10,500,Empirical_copula,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,12.716937443409641,0.7842867006381924,12.647340439126209
0.1,10,500,Empirical_copula,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,10.15280575702102,0.5732885037207754,10.115945233990493
0.1,10,500,Empirical_copula,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,7.703290507225766,0.4355211544775159,7.659003098320499
0.1,10,500,Empirical_copula,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,5.05660929744311,0.31168737792175455,5.033615699895131
0.1,10,500,Empirical_copula,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,2.5414120437354097,0.1485213379015033,2.543029629951697
0.1,10,500,Point_CHR,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,25.92333462273818,1.53467167218489,25.872889933901863
0.1,10,500,Point_CHR,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,23.35476603018927,1.304534506105294,23.401737881707625
0.1,10,500,Point_CHR,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,20.699136380865383,1.2846885062995377,20.681945103283084
0.1,10,500,Point_CHR,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,18.126286889825188,1.1433303142272453,18.05012722971363
0.1,10,500,Point_CHR,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,15.550522485906088,0.9182929660765614,15.431804992560398
0.1,10,500,Point_CHR,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,12.939933717514611,0.757671992247235,12.942958290000952
0.1,10,500,Point_CHR,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,10.424927884260985,0.6718681955230371,10.39803068254195
0.1,10,500,Point_CHR,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,7.8570089652258055,0.5251821298564271,7.815746465245336
0.1,10,500,Point_CHR,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,5.22539208979955,0.3145242097915026,5.2104659157758615
0.1,10,500,Point_CHR,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,2.603692417268978,0.14761651294829714,2.597956654411273
