alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,noise_ratio
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,4.030683371751862,0.4431100969194236,4.014090839893466,10
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,3.09654627028047,0.3545279881114307,3.083201436127875,10
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,2.4092573894262497,0.2844193434531829,2.399163855793507,10
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,27.45488265532927,3.799053478159935,27.088921771205168,10
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,21.102145043991932,3.0398246112495166,20.718730736060987,10
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,16.67995156871659,2.233061797586377,16.553564333501868,10
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,12.587287971593774,1.6009327757858947,12.541488721240068,10
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,9.862374753891261,1.40895168360563,9.701481974854637,10
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,7.63129483710432,0.9806337020141892,7.530957007071916,10
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,5.839880220854656,0.8105924251792368,5.7792984515316554,10
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,4.477884428425298,0.5687271906298005,4.401420565314755,10
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,3.499801730605609,0.46735663515959497,3.452055311197327,10
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,2.7327995845004667,0.3819571305945895,2.7054970341342104,10
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,26.403766239325684,2.3267365734771643,26.23338738035433,10
