alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,heteroskedastic_fraction,heteroskedastic_strength,redraw_train_test,n_train,n_test
0.1,10,30,36,Empirical_copula,Gaussian,absolute_residual,0.69125,21865855074.029327,28.50374690424232,0.0,0.5,1.5,True,7200,800
0.1,10,30,37,TSCP_R,Gaussian,absolute_residual,0.8825,74759832251.39774,29.355032736796673,0.0029876232147216797,0.5,1.5,True,7200,800
0.1,10,30,37,Point_CHR,Gaussian,absolute_residual,0.885,164628825036.71057,37.051110339546916,0.0,0.5,1.5,True,7200,800
0.1,10,30,37,Unscaled,Gaussian,absolute_residual,0.94625,95486361267100.78,25.003115920606295,0.0010085105895996094,0.5,1.5,True,7200,800
0.1,10,30,37,Empirical_copula,Gaussian,absolute_residual,0.62375,12960319158.37401,27.57561012898843,0.0,0.5,1.5,True,7200,800
0.1,10,30,38,TSCP_R,Gaussian,absolute_residual,0.84125,86976115985.84325,32.22530249201171,0.004002809524536133,0.5,1.5,True,7200,800
0.1,10,30,38,Point_CHR,Gaussian,absolute_residual,0.9575,1759873600900.1848,61.63066814921336,0.0010058879852294922,0.5,1.5,True,7200,800
0.1,10,30,38,Unscaled,Gaussian,absolute_residual,0.88,10588172927127.26,20.06698391527376,0.0,0.5,1.5,True,7200,800
0.1,10,30,38,Empirical_copula,Gaussian,absolute_residual,0.615,10446122219.369734,32.71187381960772,0.0,0.5,1.5,True,7200,800
0.1,10,30,39,TSCP_R,Gaussian,absolute_residual,0.915,176574837407.5956,35.78931696909682,0.0019986629486083984,0.5,1.5,True,7200,800
0.1,10,30,39,Point_CHR,Gaussian,absolute_residual,0.8475,247714990750.0695,29.35508969008289,0.0010004043579101562,0.5,1.5,True,7200,800
0.1,10,30,39,Unscaled,Gaussian,absolute_residual,0.87125,7793814075244.047,19.461441455826684,0.0,0.5,1.5,True,7200,800
0.1,10,30,39,Empirical_copula,Gaussian,absolute_residual,0.6825,15567417748.956106,29.103935950043137,0.0009930133819580078,0.5,1.5,True,7200,800
0.1,10,30,40,TSCP_R,Gaussian,absolute_residual,0.905,153471418578.3503,31.57628551247517,0.0029931068420410156,0.5,1.5,True,7200,800
0.1,10,30,40,Point_CHR,Gaussian,absolute_residual,0.995,21448075018422.277,65.98508147790606,0.0010004043579101562,0.5,1.5,True,7200,800
0.1,10,30,40,Unscaled,Gaussian,absolute_residual,0.91625,13321835790175.06,20.533189138333356,0.0,0.5,1.5,True,7200,800
0.1,10,30,40,Empirical_copula,Gaussian,absolute_residual,0.725,37406501183.19516,39.210351876844285,0.0010008811950683594,0.5,1.5,True,7200,800
0.1,10,30,41,TSCP_R,Gaussian,absolute_residual,0.95625,334924043485.94086,36.21225859700928,0.0030031204223632812,0.5,1.5,True,7200,800
0.1,10,30,41,Point_CHR,Gaussian,absolute_residual,0.9375,666673436160.277,42.53659805585762,0.0,0.5,1.5,True,7200,800
0.1,10,30,41,Unscaled,Gaussian,absolute_residual,0.9425,86259984963590.7,24.750326807806136,0.0,0.5,1.5,True,7200,800
0.1,10,30,41,Empirical_copula,Gaussian,absolute_residual,0.8275,57956749190.25556,31.35431907599483,0.0009999275207519531,0.5,1.5,True,7200,800
0.1,10,30,42,TSCP_R,Gaussian,absolute_residual,0.96375,860998864582.4951,46.25536430437046,0.0029997825622558594,0.5,1.5,True,7200,800
0.1,10,30,42,Point_CHR,Gaussian,absolute_residual,0.98625,4938085422669.399,48.775856640898155,0.0010051727294921875,0.5,1.5,True,7200,800
0.1,10,30,42,Unscaled,Gaussian,absolute_residual,0.9475,59724035815022.16,23.856949690584923,0.0,0.5,1.5,True,7200,800
0.1,10,30,42,Empirical_copula,Gaussian,absolute_residual,0.765,27912038341.10485,38.909732935336265,0.0009980201721191406,0.5,1.5,True,7200,800
0.1,10,30,43,TSCP_R,Gaussian,absolute_residual,0.98125,3238187749665.1963,48.72711657015397,0.0030107498168945312,0.5,1.5,True,7200,800
0.1,10,30,43,Point_CHR,Gaussian,absolute_residual,0.9775,33900794949914.547,93.35101789133464,0.0009949207305908203,0.5,1.5,True,7200,800
0.1,10,30,43,Unscaled,Gaussian,absolute_residual,0.97,233289270211207.6,27.33943130537439,0.0,0.5,1.5,True,7200,800
0.1,10,30,43,Empirical_copula,Gaussian,absolute_residual,0.825,212881435743.00494,48.730967743624156,0.0,0.5,1.5,True,7200,800
0.1,10,30,44,TSCP_R,Gaussian,absolute_residual,0.875,94402934970.15077,30.660591644709186,0.003007173538208008,0.5,1.5,True,7200,800
0.1,10,30,44,Point_CHR,Gaussian,absolute_residual,0.86375,109528948200.09293,37.346027424233476,0.0010061264038085938,0.5,1.5,True,7200,800
0.1,10,30,44,Unscaled,Gaussian,absolute_residual,0.965,83350517046237.77,24.665551470090747,0.0,0.5,1.5,True,7200,800
0.1,10,30,44,Empirical_copula,Gaussian,absolute_residual,0.7525,15589683677.202486,26.85744849857986,0.0,0.5,1.5,True,7200,800
0.1,10,30,45,TSCP_R,Gaussian,absolute_residual,0.94625,545800743915.4642,37.2586831820794,0.00299835205078125,0.5,1.5,True,7200,800
0.1,10,30,45,Point_CHR,Gaussian,absolute_residual,0.84,127021252912.3052,39.88755124722377,0.0009984970092773438,0.5,1.5,True,7200,800
0.1,10,30,45,Unscaled,Gaussian,absolute_residual,0.83625,2326940027258.4824,17.245608351335797,0.0,0.5,1.5,True,7200,800
0.1,10,30,45,Empirical_copula,Gaussian,absolute_residual,0.71,15740894092.432682,31.6283545050987,0.0,0.5,1.5,True,7200,800
0.1,10,30,46,TSCP_R,Gaussian,absolute_residual,0.965,624526900785.0215,28.939051969836385,0.0029993057250976562,0.5,1.5,True,7200,800
