dataset,method,coordinate,target,n_trials,full_length_mean,full_length_sd,paired_length_ratio_mean,paired_length_ratio_sd,infinite_fraction,marginal_coverage_mean,marginal_coverage_sd,marginal_mc95_lower,marginal_mc95_upper
scm1d,Empirical_copula,14,MTLp14,200,640.9891539367802,82.72786026237748,1.123304636752249,0.1429150316297033,0.0,0.9827970423253442,0.005744951456579628,0.9820008326753673,0.983593251975321
scm1d,Empirical_copula,15,MTLp15,200,593.1668324298884,73.02762757406741,1.0389062218242737,0.11900389570269501,0.0,0.9833758286588475,0.006329269842766496,0.9824986366121947,0.9842530207055004
scm1d,Empirical_copula,16,MTLp16,200,616.0132211338323,67.42479142568496,1.0797633759249996,0.11604540812206249,0.0,0.9830928097909231,0.005825054931919885,0.9822854983656667,0.9839001212161794
scm1d,Unscaled,1,LBL,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9926364099949005,0.0021566364706958286,0.9923375154293959,0.9929353045604052
scm1d,Unscaled,2,MTLp2,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9912442631310557,0.0020967085312786995,0.9909536741542105,0.9915348521079009
scm1d,Unscaled,3,MTLp3,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9914890362060175,0.0022755996031445366,0.9911736541915303,0.9918044182205047
scm1d,Unscaled,4,MTLp4,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9878403875573687,0.0029602879468440782,0.987430112579799,0.9882506625349384
scm1d,Unscaled,5,MTLp5,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9805022947475779,0.004091697986884459,0.9799352143385316,0.9810693751566242
scm1d,Unscaled,6,MTLp6,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9753238143804183,0.005081672827993848,0.9746195304583949,0.9760280983024416
scm1d,Unscaled,7,MTLp7,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9754156042835288,0.005201581090153977,0.9746947019242278,0.9761365066428298
scm1d,Unscaled,8,MTLp8,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9703365629780724,0.005865966866411546,0.9695235814479791,0.9711495445081656
scm1d,Unscaled,9,MTLp9,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9924961754207037,0.0023395824114188723,0.9921719258414049,0.9928204250000024
scm1d,Unscaled,10,MTLp10,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.988745537990821,0.002748990349715254,0.9883645473661518,0.9891265286154902
scm1d,Unscaled,11,MTLp11,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9915859255481897,0.0024141447001128683,0.9912513421628995,0.9919205089334799
scm1d,Unscaled,12,MTLp12,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9878301886792452,0.0030531123571416,0.9874070488947592,0.9882533284637313
scm1d,Unscaled,13,MTLp13,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9842809790923,0.003490738995014631,0.9837971873502134,0.9847647708343865
scm1d,Unscaled,14,MTLp14,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9785849056603771,0.003940567991440874,0.9780387708000762,0.9791310405206781
scm1d,Unscaled,15,MTLp15,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9826950535441102,0.003795495872935952,0.9821690246536454,0.9832210824345751
scm1d,Unscaled,16,MTLp16,200,571.1514423268708,28.992918740102787,1.0,0.0,0.0,0.9799974502804691,0.004216722931157046,0.9794130422981839,0.9805818582627543
