dataset,trial,n_cal,n_test,n_dim,alpha,fallback,any_backward,backward_coordinates,binary_coordinates,binary_candidates,backward_candidates,regime,runtime_ms,zero_scale_coordinates,fit_seconds
rf2,3,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.6173,0,4.14617249998264
rf2,4,384,1536,8,0.1,0,0,0,8,60,0,binary_only,2.6842,0,4.071317499969155
rf2,5,384,1536,8,0.1,0,0,0,8,63,0,binary_only,3.2176,0,3.8653190000914037
rf2,6,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.9295,0,3.8697745997924358
rf2,7,384,1536,8,0.1,0,0,0,8,62,0,binary_only,2.7704,0,3.806690099881962
rf2,8,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.8431,0,3.954179899999872
rf2,9,384,1536,8,0.1,0,0,0,8,65,0,binary_only,2.7335,0,4.022795199882239
rf2,10,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.9116,0,4.062552600167692
rf2,11,384,1536,8,0.1,0,0,0,8,63,0,binary_only,3.71,0,4.044120500097051
rf2,12,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.8263,0,4.011198499938473
rf2,13,384,1536,8,0.1,0,0,0,8,58,0,binary_only,2.4339,0,4.059144299943
rf2,14,384,1536,8,0.1,0,0,0,8,64,0,binary_only,3.2065,0,3.997018299996853
rf2,15,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.8854,0,4.1463436998892576
rf2,16,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.8924,0,3.8587640998885036
rf2,17,384,1536,8,0.1,0,0,0,8,62,0,binary_only,2.527,0,4.030305900145322
rf2,18,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.7207,0,4.326557100052014
rf2,19,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.6747,0,4.1154976999387145
rf2,20,384,1536,8,0.1,0,0,0,8,62,0,binary_only,3.7188,0,3.8524724999442697
rf2,21,384,1536,8,0.1,0,0,0,8,62,0,binary_only,2.5806,0,3.9066380001604557
rf2,22,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.767,0,3.807200000155717
rf2,23,384,1536,8,0.1,0,0,0,8,62,0,binary_only,2.9307,0,3.834717500023544
rf2,24,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.5728,0,3.854502000147477
rf2,25,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.8567,0,4.04221610003151
rf2,26,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.8722,0,4.058262000093237
rf2,27,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.6874,0,4.1001633000560105
rf2,28,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.8804,0,4.028355099959299
rf2,29,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.5905,0,4.1089842999354005
rf2,30,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.9592,0,4.222528199898079
rf2,31,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.7685,0,3.9894933998584747
rf2,32,384,1536,8,0.1,0,0,0,8,65,0,binary_only,2.8555,0,4.058659400092438
rf2,33,384,1536,8,0.1,0,0,0,8,65,0,binary_only,2.8428,0,4.149713099934161
rf2,34,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.6834,0,3.8802213999442756
rf2,35,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.6859,0,3.8781544000376016
rf2,36,384,1536,8,0.1,0,0,0,8,60,0,binary_only,2.4248,0,3.8948598001152277
rf2,37,384,1536,8,0.1,0,0,0,8,63,0,binary_only,3.1872,0,3.8770595998503268
rf2,38,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.7737,0,3.831387200159952
rf2,39,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.9773,0,3.924727100180462
rf2,40,384,1536,8,0.1,0,0,0,8,62,0,binary_only,2.7825,0,3.881230399943888
rf2,41,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.7514,0,3.9886423000134528
rf2,42,384,1536,8,0.1,0,0,0,8,62,0,binary_only,2.621,0,3.8414215000811964
rf2,43,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.8178,0,3.8832957001868635
rf2,44,384,1536,8,0.1,0,0,0,8,57,0,binary_only,2.5531,0,3.8870012999977916
rf2,45,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.9219,0,3.8068734002299607
rf2,46,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.8725,0,3.7396916998550296
rf2,47,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.8722,0,3.8352391999214888
rf2,48,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.6937,0,3.810293999966234
rf2,49,384,1536,8,0.1,0,0,0,8,59,0,binary_only,2.6373,0,3.8432821999303997
rf2,50,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.8256,0,3.775996800046414
rf2,51,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.7069,0,3.830524400109425
rf2,52,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.9006,0,3.8245845998171717
rf2,53,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.7303,0,3.746737999841571
rf2,54,384,1536,8,0.1,0,0,0,8,61,0,binary_only,2.6032,0,3.792272200109437
rf2,55,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.9329,0,3.771265600109473
rf2,56,384,1536,8,0.1,0,0,0,8,58,0,binary_only,2.5247,0,3.716741400072351
rf2,57,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.73,0,3.805645399959758
rf2,58,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.808,0,3.74731900007464
rf2,59,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.8044,0,3.9336155999917537
rf2,60,384,1536,8,0.1,0,0,0,8,62,0,binary_only,2.6901,0,3.8405104998964816
rf2,61,384,1536,8,0.1,0,0,0,8,60,0,binary_only,2.5549,0,3.8156664001289755
rf2,62,384,1536,8,0.1,0,0,0,8,60,0,binary_only,2.5135,0,3.833448500139639
rf2,63,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.6941,0,3.8267971000168473
rf2,64,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.7259,0,3.8077329001389444
rf2,65,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.6329,0,3.8305134000256658
rf2,66,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.7741,0,3.85149409994483
rf2,67,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.8377,0,3.782317499862984
rf2,68,384,1536,8,0.1,0,0,0,8,61,0,binary_only,2.5863,0,3.7692722000647336
rf2,69,384,1536,8,0.1,0,0,0,8,58,0,binary_only,2.5433,0,3.78788680001162
rf2,70,384,1536,8,0.1,0,0,0,8,65,0,binary_only,2.929,0,3.803628899855539
rf2,71,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.9035,0,3.8283822999801487
rf2,72,384,1536,8,0.1,0,0,0,8,63,0,binary_only,2.7051,0,3.8705880001652986
rf2,73,384,1536,8,0.1,0,0,0,8,64,0,binary_only,2.6274,0,3.76903080008924
rf2,74,384,1536,8,0.1,0,0,0,8,62,0,binary_only,2.5721,0,3.900133099872619
